# ---$x/\lambda_\mathrm{l}$---	---$z/\lambda_\mathrm{l}$---
-1.47461 0.0545402
-1.47363 0.0545402
-1.47266 0.0545402
-1.47168 0.0545402
-1.4707 0.0545402
-1.46973 0.0545402
-1.46875 0.0545402
-1.46777 0.0545402
-1.4668 0.0545402
-1.46582 0.0545402
-1.46484 0.0545402
-1.46387 0.0545402
-1.46289 0.0545402
-1.46191 0.0545402
-1.46094 0.0545402
-1.45996 0.0545402
-1.45898 0.0545402
-1.45801 0.0545402
-1.45703 0.0545402
-1.45605 0.0545402
-1.45508 0.0545402
-1.4541 0.0545402
-1.45312 0.0545402
-1.45215 0.0545402
-1.45117 0.0545402
-1.4502 0.0545402
-1.44922 0.0545402
-1.44824 0.0545402
-1.44727 0.0545402
-1.44629 0.0545402
-1.44531 0.0545402
-1.44434 0.0545402
-1.44336 0.0545402
-1.44238 0.0545402
-1.44141 0.0545402
-1.44043 0.0545402
-1.43945 0.0545402
-1.43848 0.0545402
-1.4375 0.0545402
-1.43652 0.0545402
-1.43555 0.0545402
-1.43457 0.0545402
-1.43359 0.0545402
-1.43262 0.0545402
-1.43164 0.0545402
-1.43066 0.0545402
-1.42969 0.0545402
-1.42871 0.0545402
-1.42773 0.0545402
-1.42676 0.0545402
-1.42578 0.0545402
-1.4248 0.0545402
-1.42383 0.0545402
-1.42285 0.0545402
-1.42188 0.0545402
-1.4209 0.0545402
-1.41992 0.0545402
-1.41895 0.0545402
-1.41797 0.0545402
-1.41699 0.0545402
-1.41602 0.0545402
-1.41504 0.0545402
-1.41406 0.0545402
-1.41309 0.0545402
-1.41211 0.0545402
-1.41113 0.0545402
-1.41016 0.0545402
-1.40918 0.0545402
-1.4082 0.0545402
-1.40723 0.0545402
-1.40625 0.0545402
-1.40527 0.0545402
-1.4043 0.0545402
-1.40332 0.0545402
-1.40234 0.0545402
-1.40137 0.0545402
-1.40039 0.0545402
-1.39941 0.0545402
-1.39844 0.0545402
-1.39746 0.0545402
-1.39648 0.0545402
-1.39551 0.0545402
-1.39453 0.0545402
-1.39355 0.0545402
-1.39258 0.0545402
-1.3916 0.0545402
-1.39062 0.0545402
-1.38965 0.0545402
-1.38867 0.0545402
-1.3877 0.0545402
-1.38672 0.0545402
-1.38574 0.0545402
-1.38477 0.0545402
-1.38379 0.0545402
-1.38281 0.0545402
-1.38184 0.0545402
-1.38086 0.0545402
-1.37988 0.0545402
-1.37891 0.0545402
-1.37793 0.0545402
-1.37695 0.0545402
-1.37598 0.0545402
-1.375 0.0545402
-1.37402 0.0545402
-1.37305 0.0545402
-1.37207 0.0545402
-1.37109 0.0545402
-1.37012 0.0545402
-1.36914 0.0545402
-1.36816 0.0545402
-1.36719 0.0545402
-1.36621 0.0545402
-1.36523 0.0545402
-1.36426 0.0545402
-1.36328 0.0545402
-1.3623 0.0545402
-1.36133 0.0545402
-1.36035 0.0545402
-1.35938 0.0545402
-1.3584 0.0545402
-1.35742 0.0545402
-1.35645 0.0545402
-1.35547 0.0545402
-1.35449 0.0545402
-1.35352 0.0545402
-1.35254 0.0545402
-1.35156 0.0545402
-1.35059 0.0545402
-1.34961 0.0545402
-1.34863 0.0545402
-1.34766 0.0545402
-1.34668 0.0545402
-1.3457 0.0545402
-1.34473 0.0545402
-1.34375 0.0545402
-1.34277 0.0545402
-1.3418 0.0545402
-1.34082 0.0545402
-1.33984 0.0545402
-1.33887 0.0545402
-1.33789 0.0545402
-1.33691 0.0545402
-1.33594 0.0545402
-1.33496 0.0545402
-1.33398 0.0545402
-1.33301 0.0545402
-1.33203 0.0545402
-1.33105 0.0545402
-1.33008 0.0545402
-1.3291 0.0545402
-1.32812 0.0545402
-1.32715 0.0545402
-1.32617 0.0545402
-1.3252 0.0545402
-1.32422 0.0545402
-1.32324 0.0545402
-1.32227 0.0545402
-1.32129 0.0545402
-1.32031 0.0545402
-1.31934 0.0545402
-1.31836 0.0545402
-1.31738 0.0545402
-1.31641 0.0545402
-1.31543 0.0545402
-1.31445 0.0545402
-1.31348 0.0545402
-1.3125 0.0545402
-1.31152 0.0545402
-1.31055 0.0545402
-1.30957 0.0545402
-1.30859 0.0545402
-1.30762 0.0545402
-1.30664 0.0545402
-1.30566 0.0545402
-1.30469 0.0545402
-1.30371 0.0545402
-1.30273 0.0545402
-1.30176 0.0545402
-1.30078 0.0545402
-1.2998 0.0545402
-1.29883 0.0545402
-1.29785 0.0545402
-1.29688 0.0545402
-1.2959 0.0545402
-1.29492 0.0545402
-1.29395 0.0545402
-1.29297 0.0545402
-1.29199 0.0545402
-1.29102 0.0545402
-1.29004 0.0545402
-1.28906 0.0545402
-1.28809 0.0545402
-1.28711 0.0545402
-1.28613 0.0545402
-1.28516 0.0545402
-1.28418 0.0545402
-1.2832 0.0545402
-1.28223 0.0545402
-1.28125 0.0545402
-1.28027 0.0545402
-1.2793 0.0545402
-1.27832 0.0545402
-1.27734 0.0545402
-1.27637 0.0545402
-1.27539 0.0545402
-1.27441 0.0545402
-1.27344 0.0545402
-1.27246 0.0545402
-1.27148 0.0545402
-1.27051 0.0545402
-1.26953 0.0545402
-1.26855 0.0545402
-1.26758 0.0545402
-1.2666 0.0545402
-1.26562 0.0545402
-1.26465 0.0545402
-1.26367 0.0545402
-1.2627 0.0545402
-1.26172 0.0545402
-1.26074 0.0545402
-1.25977 0.0545402
-1.25879 0.0545402
-1.25781 0.0545402
-1.25684 0.0545402
-1.25586 0.0545402
-1.25488 0.0545402
-1.25391 0.0545402
-1.25293 0.0545402
-1.25195 0.0545402
-1.25098 0.0545402
-1.25 0.0545402
-1.24902 0.0545402
-1.24805 0.0545402
-1.24707 0.0545402
-1.24609 0.0545402
-1.24512 0.0545402
-1.24414 0.0545402
-1.24316 0.0545402
-1.24219 0.0545402
-1.24121 0.0545402
-1.24023 0.0545402
-1.23926 0.0545402
-1.23828 0.0545402
-1.2373 0.0545402
-1.23633 0.0545402
-1.23535 0.0545402
-1.23438 0.0545402
-1.2334 0.0545402
-1.23242 0.0545402
-1.23145 0.0545402
-1.23047 0.0545402
-1.22949 0.0545402
-1.22852 0.0545402
-1.22754 0.0545402
-1.22656 0.0545402
-1.22559 0.0545402
-1.22461 0.0545402
-1.22363 0.0545402
-1.22266 0.0545402
-1.22168 0.0545402
-1.2207 0.0545402
-1.21973 0.0545402
-1.21875 0.0545402
-1.21777 0.0545402
-1.2168 0.0545402
-1.21582 0.0545402
-1.21484 0.0545402
-1.21387 0.0545402
-1.21289 0.0545402
-1.21191 0.0545402
-1.21094 0.0545402
-1.20996 0.0545402
-1.20898 0.0545402
-1.20801 0.0545402
-1.20703 0.0545402
-1.20605 0.0545402
-1.20508 0.0545402
-1.2041 0.0545402
-1.20312 0.0545402
-1.20215 0.0545402
-1.20117 0.0545402
-1.2002 0.0545402
-1.19922 0.0545402
-1.19824 0.0545402
-1.19727 0.0545402
-1.19629 0.0545402
-1.19531 0.0545402
-1.19434 0.0545402
-1.19336 0.0545402
-1.19238 0.0545402
-1.19141 0.0545402
-1.19043 0.0545402
-1.18945 0.0545402
-1.18848 0.0545402
-1.1875 0.0545402
-1.18652 0.0545402
-1.18555 0.0545402
-1.18457 0.0545402
-1.18359 0.0545402
-1.18262 0.0545402
-1.18164 0.0545402
-1.18066 0.0545402
-1.17969 0.0545402
-1.17871 0.0545402
-1.17773 0.0545402
-1.17676 0.0545402
-1.17578 0.0545402
-1.1748 0.0545402
-1.17383 0.0545402
-1.17285 0.0545402
-1.17188 0.0545402
-1.1709 0.0545402
-1.16992 0.0545402
-1.16895 0.0545402
-1.16797 0.0545402
-1.16699 0.0545402
-1.16602 0.0545402
-1.16504 0.0545402
-1.16406 0.0545402
-1.16309 0.0545402
-1.16211 0.0545402
-1.16113 0.0545402
-1.16016 0.0545402
-1.15918 0.0545402
-1.1582 0.0545402
-1.15723 0.0545402
-1.15625 0.0545402
-1.15527 0.0545402
-1.1543 0.0545402
-1.15332 0.0545402
-1.15234 0.0545402
-1.15137 0.0545402
-1.15039 0.0545402
-1.14941 0.0545402
-1.14844 0.0545402
-1.14746 0.0545402
-1.14648 0.0545402
-1.14551 0.0545402
-1.14453 0.0545402
-1.14355 0.0545402
-1.14258 0.0545402
-1.1416 0.0545402
-1.14062 0.0545402
-1.13965 0.0545402
-1.13867 0.0545402
-1.1377 0.0545402
-1.13672 0.0545402
-1.13574 0.0545402
-1.13477 0.0545402
-1.13379 0.0545402
-1.13281 0.0545402
-1.13184 0.0545402
-1.13086 0.0545402
-1.12988 0.0545402
-1.12891 0.0545402
-1.12793 0.0545402
-1.12695 0.0545402
-1.12598 0.0545402
-1.125 0.0545402
-1.12402 0.0545402
-1.12305 0.0545402
-1.12207 0.0545402
-1.12109 0.0545402
-1.12012 0.0545402
-1.11914 0.0545402
-1.11816 0.0545402
-1.11719 0.0545402
-1.11621 0.0545402
-1.11523 0.0545402
-1.11426 0.0545402
-1.11328 0.0545402
-1.1123 0.0545402
-1.11133 0.0545402
-1.11035 0.0545402
-1.10938 0.0545402
-1.1084 0.0545402
-1.10742 0.0545402
-1.10645 0.0545402
-1.10547 0.0545402
-1.10449 0.0545402
-1.10352 0.0545402
-1.10254 0.0545402
-1.10156 0.0545402
-1.10059 0.0545402
-1.09961 0.0545402
-1.09863 0.0545402
-1.09766 0.0545402
-1.09668 0.0545402
-1.0957 0.0545402
-1.09473 0.0545402
-1.09375 0.0545402
-1.09277 0.0545402
-1.0918 0.0545402
-1.09082 0.0545402
-1.08984 0.0545402
-1.08887 0.0545402
-1.08789 0.0545402
-1.08691 0.0545402
-1.08594 0.0545402
-1.08496 0.0545402
-1.08398 0.0545402
-1.08301 0.0545402
-1.08203 0.0545402
-1.08105 0.0545402
-1.08008 0.0545402
-1.0791 0.0545402
-1.07812 0.0545402
-1.07715 0.0545402
-1.07617 0.0545402
-1.0752 0.0545402
-1.07422 0.0545402
-1.07324 0.0545402
-1.07227 0.0545402
-1.07129 0.0545402
-1.07031 0.0545402
-1.06934 0.0545402
-1.06836 0.0545402
-1.06738 0.0545402
-1.06641 0.0545402
-1.06543 0.0545402
-1.06445 0.0545402
-1.06348 0.0545402
-1.0625 0.0545402
-1.06152 0.0545402
-1.06055 0.0545402
-1.05957 0.0545402
-1.05859 0.0545402
-1.05762 0.0545402
-1.05664 0.0545402
-1.05566 0.0545402
-1.05469 0.0545402
-1.05371 0.0545402
-1.05273 0.0545402
-1.05176 0.0545402
-1.05078 0.0545402
-1.0498 0.0545402
-1.04883 0.0545402
-1.04785 0.0545402
-1.04688 0.0545402
-1.0459 0.0545402
-1.04492 0.0545402
-1.04395 0.0545402
-1.04297 0.0545402
-1.04199 0.0545402
-1.04102 0.0545402
-1.04004 0.0545402
-1.03906 0.0545402
-1.03809 0.0545402
-1.03711 0.0545402
-1.03613 0.0545402
-1.03516 0.0545402
-1.03418 0.0545402
-1.0332 0.0545402
-1.03223 0.0545402
-1.03125 0.0545402
-1.03027 0.0545402
-1.0293 0.0545402
-1.02832 0.0545402
-1.02734 0.0545402
-1.02637 0.0545402
-1.02539 0.0545402
-1.02441 0.0545402
-1.02344 0.0545402
-1.02246 0.0545402
-1.02148 0.0545402
-1.02051 0.0545402
-1.01953 0.0545402
-1.01855 0.0545402
-1.01758 0.0545402
-1.0166 0.0545402
-1.01562 0.0545402
-1.01465 0.0545402
