# ---$x/\lambda_\mathrm{l}$---	---$z/\lambda_\mathrm{l}$---
0.476562 0.0277926
0.477539 0.0277798
0.478516 0.027767
0.479492 0.0277542
0.480469 0.0277414
0.481445 0.0277286
0.482422 0.0277158
0.483398 0.027703
0.484375 0.0276902
0.485352 0.0276774
0.486328 0.0276646
0.487305 0.0276518
0.488281 0.027639
0.489258 0.0276262
0.490234 0.0276134
0.491211 0.0276007
0.492188 0.0275879
0.493164 0.0275751
0.494141 0.0275623
0.495117 0.0275495
0.496094 0.0275367
0.49707 0.0275239
0.498047 0.0275112
0.499023 0.0274984
0.5 0.0274856
0.500977 0.0274729
0.501953 0.0274602
0.50293 0.0274474
0.503906 0.0274347
0.504883 0.027422
0.505859 0.0274093
0.506836 0.0273967
0.507812 0.027384
0.508789 0.0273714
0.509766 0.0273587
0.510742 0.0273461
0.511719 0.0273335
0.512695 0.027321
0.513672 0.0273084
0.514648 0.0272959
0.515625 0.0272834
0.516602 0.027271
0.517578 0.0272585
0.518555 0.0272461
0.519531 0.0272337
0.520508 0.0272213
0.521484 0.027209
0.522461 0.0271967
0.523438 0.0271844
0.524414 0.0271722
0.525391 0.02716
0.526367 0.0271478
0.527344 0.0271357
0.52832 0.0271236
0.529297 0.0271115
0.530273 0.0270995
0.53125 0.0270875
0.532227 0.0270755
0.533203 0.0270636
0.53418 0.0270517
0.535156 0.0270399
0.536133 0.0270281
0.537109 0.0270163
0.538086 0.0270046
0.539062 0.0269929
0.540039 0.0269813
0.541016 0.0269697
0.541992 0.0269582
0.542969 0.0269467
0.543945 0.0269353
0.544922 0.0269239
0.545898 0.0269125
0.546875 0.0269012
0.547852 0.0268899
0.548828 0.0268787
0.549805 0.0268675
0.550781 0.0268564
0.551758 0.0268453
0.552734 0.0268343
0.553711 0.0268233
0.554688 0.0268124
0.555664 0.0268015
0.556641 0.0267907
0.557617 0.0267799
0.558594 0.0267692
0.55957 0.0267585
0.560547 0.0267479
0.561523 0.0267373
0.5625 0.0267268
0.563477 0.0267163
0.564453 0.0267059
0.56543 0.0266955
0.566406 0.0266852
0.567383 0.0266749
0.568359 0.0266647
0.569336 0.0266545
0.570312 0.0266444
0.571289 0.0266344
0.572266 0.0266243
0.573242 0.0266144
0.574219 0.0266044
0.575195 0.0265946
0.576172 0.0265848
0.577148 0.026575
0.578125 0.0265653
0.579102 0.0265556
0.580078 0.026546
0.581055 0.0265364
0.582031 0.0265269
0.583008 0.0265174
0.583984 0.026508
0.584961 0.0264986
0.585938 0.0264893
0.586914 0.02648
0.587891 0.0264708
0.588867 0.0264616
0.589844 0.0264525
0.59082 0.0264434
0.591797 0.0264343
0.592773 0.0264253
0.59375 0.0264164
0.594727 0.0264075
0.595703 0.0263986
0.59668 0.0263898
0.597656 0.026381
0.598633 0.0263723
0.599609 0.0263636
0.600586 0.026355
0.601562 0.0263464
0.602539 0.0263378
0.603516 0.0263293
0.604492 0.0263209
0.605469 0.0263124
0.606445 0.026304
0.607422 0.0262957
0.608398 0.0262874
0.609375 0.0262791
0.610352 0.0262709
0.611328 0.0262627
0.612305 0.0262546
0.613281 0.0262465
0.614258 0.0262384
0.615234 0.0262304
0.616211 0.0262224
0.617188 0.0262144
0.618164 0.0262065
0.619141 0.0261986
0.620117 0.0261908
0.621094 0.026183
0.62207 0.0261752
0.623047 0.0261674
0.624023 0.0261597
0.625 0.0261521
0.625977 0.0261444
0.626953 0.0261368
0.62793 0.0261293
0.628906 0.0261217
0.629883 0.0261142
0.630859 0.0261067
0.631836 0.0260993
0.632812 0.0260919
0.633789 0.0260845
0.634766 0.0260772
0.635742 0.0260699
0.636719 0.0260626
0.637695 0.0260553
0.638672 0.0260481
0.639648 0.0260409
0.640625 0.0260337
0.641602 0.0260266
0.642578 0.0260195
0.643555 0.0260124
0.644531 0.0260053
0.645508 0.0259983
0.646484 0.0259913
0.647461 0.0259843
0.648438 0.0259774
0.649414 0.0259705
0.650391 0.0259636
0.651367 0.0259567
0.652344 0.0259499
0.65332 0.0259431
0.654297 0.0259363
0.655273 0.0259295
0.65625 0.0259228
0.657227 0.025916
0.658203 0.0259093
0.65918 0.0259027
0.660156 0.025896
0.661133 0.0258894
0.662109 0.0258828
0.663086 0.0258762
0.664062 0.0258697
0.665039 0.0258631
0.666016 0.0258566
0.666992 0.0258501
0.667969 0.0258437
0.668945 0.0258372
0.669922 0.0258308
0.670898 0.0258244
0.671875 0.025818
0.672852 0.0258116
0.673828 0.0258053
0.674805 0.0257989
0.675781 0.0257926
0.676758 0.0257863
0.677734 0.0257801
0.678711 0.0257738
0.679688 0.0257676
0.680664 0.0257614
0.681641 0.0257552
0.682617 0.025749
0.683594 0.0257428
0.68457 0.0257367
0.685547 0.0257305
0.686523 0.0257244
0.6875 0.0257183
0.688477 0.0257122
0.689453 0.0257062
0.69043 0.0257001
0.691406 0.0256941
0.692383 0.0256881
0.693359 0.025682
0.694336 0.0256761
0.695312 0.0256701
0.696289 0.0256641
0.697266 0.0256582
0.698242 0.0256522
0.699219 0.0256463
0.700195 0.0256404
0.701172 0.0256345
0.702148 0.0256286
0.703125 0.0256227
0.704102 0.0256169
0.705078 0.025611
0.706055 0.0256052
0.707031 0.0255993
0.708008 0.0255935
0.708984 0.0255877
0.709961 0.0255819
0.710938 0.0255761
0.711914 0.0255703
0.712891 0.0255646
0.713867 0.0255588
0.714844 0.025553
0.71582 0.0255473
0.716797 0.0255415
0.717773 0.0255358
0.71875 0.0255301
0.719727 0.0255244
0.720703 0.0255186
0.72168 0.0255129
0.722656 0.0255072
0.723633 0.0255015
0.724609 0.0254958
0.725586 0.0254902
0.726562 0.0254845
0.727539 0.0254788
0.728516 0.0254731
0.729492 0.0254675
0.730469 0.0254618
0.731445 0.0254561
0.732422 0.0254505
0.733398 0.0254448
0.734375 0.0254391
0.735352 0.0254335
0.736328 0.0254278
0.737305 0.0254222
0.738281 0.0254165
0.739258 0.0254108
0.740234 0.0254052
0.741211 0.0253995
0.742188 0.0253939
0.743164 0.0253882
0.744141 0.0253825
0.745117 0.0253769
0.746094 0.0253712
0.74707 0.0253655
0.748047 0.0253599
0.749023 0.0253542
0.75 0.0253485
0.750977 0.0253428
0.751953 0.0253371
0.75293 0.0253314
0.753906 0.0253257
0.754883 0.02532
0.755859 0.0253143
0.756836 0.0253086
0.757812 0.0253029
0.758789 0.0252971
0.759766 0.0252914
0.760742 0.0252856
0.761719 0.0252799
0.762695 0.0252741
0.763672 0.0252683
0.764648 0.0252626
0.765625 0.0252568
0.766602 0.025251
0.767578 0.0252452
0.768555 0.0252394
0.769531 0.0252335
0.770508 0.0252277
0.771484 0.0252218
0.772461 0.025216
0.773438 0.0252101
0.774414 0.0252042
0.775391 0.0251983
0.776367 0.0251924
0.777344 0.0251865
0.77832 0.0251806
0.779297 0.0251746
0.780273 0.0251686
0.78125 0.0251627
0.782227 0.0251567
0.783203 0.0251506
0.78418 0.0251446
0.785156 0.0251385
0.786133 0.0251325
0.787109 0.0251264
0.788086 0.0251203
0.789062 0.0251141
0.790039 0.025108
0.791016 0.0251018
0.791992 0.0250956
0.792969 0.0250893
0.793945 0.025083
0.794922 0.0250767
0.795898 0.0250704
0.796875 0.025064
0.797852 0.0250576
0.798828 0.0250512
0.799805 0.0250447
0.800781 0.0250382
0.801758 0.0250316
0.802734 0.025025
0.803711 0.0250184
0.804688 0.0250117
0.805664 0.0250049
0.806641 0.0249981
0.807617 0.0249913
0.808594 0.0249844
0.80957 0.0249775
0.810547 0.0249705
0.811523 0.0249634
0.8125 0.0249563
0.813477 0.0249492
0.814453 0.0249419
0.81543 0.0249346
0.816406 0.0249271
0.817383 0.0249196
0.818359 0.0249118
0.819336 0.0249039
0.820312 0.0248957
0.821289 0.0248872
0.822266 0.0248783
0.823242 0.024869
0.824219 0.0248592
0.825195 0.0248486
0.826172 0.0248373
0.827148 0.0248249
0.828125 0.0248111
0.829102 0.0247955
0.830078 0.0247775
0.831055 0.0247559
0.832031 0.0247295
0.833008 0.024697
0.833984 0.0246585
0.834961 0.0246246
0.835938 0.0246045
0.836914 0.0245988
0.837891 0.0246022
0.838867 0.0246062
0.839844 0.0246061
0.84082 0.0246016
0.841797 0.0245919
0.842773 0.024572
0.84375 0.0245272
0.844727 0.0245118
0.845703 0.0245408
0.84668 0.0245901
0.847656 0.0246086
0.848633 0.0246149
0.849609 0.0246162
0.850586 0.0246132
0.851562 0.0246072
0.852539 0.0245982
0.853516 0.0245865
0.854492 0.0245719
0.855469 0.0245546
0.856445 0.024534
0.857422 0.0245101
0.858398 0.0244823
0.859375 0.0244501
0.860352 0.0244126
0.861328 0.0243692
0.862305 0.0243189
0.863281 0.0242612
0.864258 0.0241953
0.865234 0.0241173
0.866211 0.0240125
0.867188 0.0238848
0.868164 0.0237838
0.869141 0.023719
0.870117 0.0236918
0.871094 0.0236983
0.87207 0.0237032
0.873047 0.0236783
0.874023 0.0236366
0.875 0.0235799
0.875977 0.0235039
0.876953 0.0234012
0.87793 0.0232578
0.878906 0.023035
0.879883 0.0226845
0.880859 0.022348
0.881836 0.0220857
0.882812 0.0219229
0.883789 0.0218499
0.884766 0.0218249
0.885742 0.0217918
0.886719 0.0217032
0.887695 0.0215406
0.888672 0.0213215
0.889648 0.0210916
0.890625 0.0209043
0.891602 0.0207968
0.892578 0.0207741
0.893555 0.0208088
0.894531 0.0208548
0.895508 0.020871
0.896484 0.0208418
0.897461 0.0207856
0.898438 0.0207482
0.899414 0.0207832
0.900391 0.02093
0.901367 0.0211989
0.902344 0.0215701
0.90332 0.0220052
0.904297 0.0224652
0.905273 0.0229003
0.90625 0.0231982
0.907227 0.023427
0.908203 0.0236164
0.90918 0.0237762
0.910156 0.0239143
0.911133 0.0240347
0.912109 0.024141
0.913086 0.0242354
0.914062 0.02432
0.915039 0.0243958
0.916016 0.0244643
0.916992 0.0245262
0.917969 0.0245824
0.918945 0.0246333
0.919922 0.0246797
0.920898 0.0247218
0.921875 0.0247601
0.922852 0.0247949
0.923828 0.0248266
0.924805 0.0248552
0.925781 0.0248811
0.926758 0.0249043
0.927734 0.0249252
0.928711 0.0249438
0.929688 0.0249603
0.930664 0.0249746
0.931641 0.0249871
0.932617 0.0249977
0.933594 0.0250065
0.93457 0.0250135
0.935547 0.0250189
0.936523 0.0250226
0.9375 0.0250248
0.938477 0.0250254
0.939453 0.0250244
0.94043 0.0250219
0.941406 0.0250178
0.942383 0.0250122
0.943359 0.025005
0.944336 0.0249962
0.945312 0.0249857
0.946289 0.0249735
0.947266 0.0249596
0.948242 0.0249437
0.949219 0.0249259
0.950195 0.024906
0.951172 0.0248839
0.952148 0.0248595
0.953125 0.0248328
0.954102 0.0248038
0.955078 0.0247728
0.956055 0.0247406
0.957031 0.0247089
0.958008 0.0246813
0.958984 0.0246615
0.959961 0.0246514
0.960938 0.0246502
0.961914 0.0246551
0.962891 0.0246637
0.963867 0.0246741
0.964844 0.0246854
0.96582 0.0246968
0.966797 0.0247079
0.967773 0.0247188
0.96875 0.0247293
0.969727 0.0247394
0.970703 0.024749
0.97168 0.0247579
0.972656 0.0247661
0.973633 0.0247735
0.974609 0.0247802
0.975586 0.0247861
0.976562 0.0247913
0.977539 0.0247958
0.978516 0.0247996
0.979492 0.0248028
0.980469 0.0248053
0.981445 0.0248073
0.982422 0.0248087
0.983398 0.0248095
