# ---$x/\lambda_\mathrm{l}$---	---$z/\lambda_\mathrm{l}$---
-1.4043 0.0247027
-1.40332 0.0246985
-1.40234 0.0246944
-1.40137 0.0246904
-1.40039 0.0246863
-1.39941 0.0246823
-1.39844 0.0246784
-1.39746 0.0246745
-1.39648 0.0246706
-1.39551 0.0246667
-1.39453 0.0246629
-1.39355 0.0246592
-1.39258 0.0246554
-1.3916 0.0246517
-1.39062 0.0246481
-1.38965 0.0246444
-1.38867 0.0246408
-1.3877 0.0246373
-1.38672 0.0246337
-1.38574 0.0246303
-1.38477 0.0246268
-1.38379 0.0246234
-1.38281 0.02462
-1.38184 0.0246166
-1.38086 0.0246133
-1.37988 0.02461
-1.37891 0.0246068
-1.37793 0.0246035
-1.37695 0.0246004
-1.37598 0.0245972
-1.375 0.0245941
-1.37402 0.024591
-1.37305 0.0245879
-1.37207 0.0245849
-1.37109 0.0245819
-1.37012 0.0245789
-1.36914 0.024576
-1.36816 0.0245731
-1.36719 0.0245702
-1.36621 0.0245674
-1.36523 0.0245645
-1.36426 0.0245618
-1.36328 0.024559
-1.3623 0.0245563
-1.36133 0.0245536
-1.36035 0.0245509
-1.35938 0.0245483
-1.3584 0.0245457
-1.35742 0.0245431
-1.35645 0.0245405
-1.35547 0.024538
-1.35449 0.0245355
-1.35352 0.024533
-1.35254 0.0245306
-1.35156 0.0245282
-1.35059 0.0245258
-1.34961 0.0245234
-1.34863 0.0245211
-1.34766 0.0245188
-1.34668 0.0245165
-1.3457 0.0245143
-1.34473 0.0245121
-1.34375 0.0245099
-1.34277 0.0245077
-1.3418 0.0245056
-1.34082 0.0245035
-1.33984 0.0245014
-1.33887 0.0244993
-1.33789 0.0244973
-1.33691 0.0244953
-1.33594 0.0244933
-1.33496 0.0244913
-1.33398 0.0244894
-1.33301 0.0244875
-1.33203 0.0244856
-1.33105 0.0244837
-1.33008 0.0244819
-1.3291 0.0244801
-1.32812 0.0244783
-1.32715 0.0244765
-1.32617 0.0244748
-1.3252 0.0244731
-1.32422 0.0244714
-1.32324 0.0244697
-1.32227 0.0244681
-1.32129 0.0244665
-1.32031 0.0244649
-1.31934 0.0244633
-1.31836 0.0244618
-1.31738 0.0244603
-1.31641 0.0244588
-1.31543 0.0244573
-1.31445 0.0244558
-1.31348 0.0244544
-1.3125 0.024453
-1.31152 0.0244516
-1.31055 0.0244503
-1.30957 0.024449
-1.30859 0.0244476
-1.30762 0.0244464
-1.30664 0.0244451
-1.30566 0.0244438
-1.30469 0.0244426
-1.30371 0.0244414
-1.30273 0.0244403
-1.30176 0.0244391
-1.30078 0.024438
-1.2998 0.0244369
-1.29883 0.0244358
-1.29785 0.0244347
-1.29688 0.0244337
-1.2959 0.0244327
-1.29492 0.0244317
-1.29395 0.0244307
-1.29297 0.0244297
-1.29199 0.0244288
-1.29102 0.0244279
-1.29004 0.024427
-1.28906 0.0244262
-1.28809 0.0244253
-1.28711 0.0244245
-1.28613 0.0244237
-1.28516 0.0244229
-1.28418 0.0244222
-1.2832 0.0244215
-1.28223 0.0244207
-1.28125 0.0244201
-1.28027 0.0244194
-1.2793 0.0244188
-1.27832 0.0244181
-1.27734 0.0244175
-1.27637 0.024417
-1.27539 0.0244164
-1.27441 0.0244159
-1.27344 0.0244154
-1.27246 0.0244149
-1.27148 0.0244144
-1.27051 0.024414
-1.26953 0.0244136
-1.26855 0.0244132
-1.26758 0.0244128
-1.2666 0.0244125
-1.26562 0.0244121
-1.26465 0.0244118
-1.26367 0.0244115
-1.2627 0.0244113
-1.26172 0.0244111
-1.26074 0.0244108
-1.25977 0.0244107
-1.25879 0.0244105
-1.25781 0.0244104
-1.25684 0.0244103
-1.25586 0.0244102
-1.25488 0.0244101
-1.25391 0.0244101
-1.25293 0.0244101
-1.25195 0.0244101
-1.25098 0.0244101
-1.25 0.0244102
-1.24902 0.0244103
-1.24805 0.0244104
-1.24707 0.0244106
-1.24609 0.0244107
-1.24512 0.0244109
-1.24414 0.0244112
-1.24316 0.0244114
-1.24219 0.0244117
-1.24121 0.0244121
-1.24023 0.0244124
-1.23926 0.0244128
-1.23828 0.0244132
-1.2373 0.0244137
-1.23633 0.0244142
-1.23535 0.0244147
-1.23438 0.0244152
-1.2334 0.0244158
-1.23242 0.0244164
-1.23145 0.0244171
-1.23047 0.0244178
-1.22949 0.0244185
-1.22852 0.0244193
-1.22754 0.0244201
-1.22656 0.0244209
-1.22559 0.0244218
-1.22461 0.0244227
-1.22363 0.0244237
-1.22266 0.0244247
-1.22168 0.0244258
-1.2207 0.0244269
-1.21973 0.024428
-1.21875 0.0244292
-1.21777 0.0244304
-1.2168 0.0244317
-1.21582 0.024433
-1.21484 0.0244344
-1.21387 0.0244358
-1.21289 0.0244373
-1.21191 0.0244388
-1.21094 0.0244404
-1.20996 0.024442
-1.20898 0.0244437
-1.20801 0.0244454
-1.20703 0.0244472
-1.20605 0.024449
-1.20508 0.0244509
-1.2041 0.0244528
-1.20312 0.0244548
-1.20215 0.0244568
-1.20117 0.0244589
-1.2002 0.0244611
-1.19922 0.0244632
-1.19824 0.0244655
-1.19727 0.0244677
-1.19629 0.02447
-1.19531 0.0244724
-1.19434 0.0244748
-1.19336 0.0244772
-1.19238 0.0244796
-1.19141 0.0244821
-1.19043 0.0244846
-1.18945 0.0244871
-1.18848 0.0244897
-1.1875 0.0244922
-1.18652 0.0244947
-1.18555 0.0244972
-1.18457 0.0244997
-1.18359 0.0245022
-1.18262 0.0245046
-1.18164 0.0245069
-1.18066 0.0245091
-1.17969 0.0245113
-1.17871 0.0245133
-1.17773 0.0245152
-1.17676 0.0245168
-1.17578 0.0245183
-1.1748 0.0245194
-1.17383 0.0245203
-1.17285 0.0245207
-1.17188 0.0245206
-1.1709 0.0245198
-1.16992 0.0245181
-1.16895 0.0245152
-1.16797 0.0245106
-1.16699 0.024504
-1.16602 0.0244957
-1.16504 0.0244876
-1.16406 0.0244825
-1.16309 0.0244821
-1.16211 0.0244854
-1.16113 0.0244904
-1.16016 0.024495
-1.15918 0.0244983
-1.1582 0.0245003
-1.15723 0.024502
-1.15625 0.0245021
-1.15527 0.0244972
-1.1543 0.0245115
-1.15332 0.0245177
-1.15234 0.0245204
-1.15137 0.0245216
-1.15039 0.0245208
-1.14941 0.0245183
-1.14844 0.024514
-1.14746 0.0245078
-1.14648 0.0244995
-1.14551 0.024489
-1.14453 0.0244761
-1.14355 0.0244605
-1.14258 0.0244418
-1.1416 0.0244196
-1.14062 0.0243933
-1.13965 0.0243623
-1.13867 0.0243257
-1.1377 0.0242825
-1.13672 0.0242318
-1.13574 0.0241727
-1.13477 0.0241023
-1.13379 0.0240088
-1.13281 0.0238828
-1.13184 0.0237824
-1.13086 0.023718
-1.12988 0.0236912
-1.12891 0.0236978
-1.12793 0.0237018
-1.12695 0.0236764
-1.12598 0.0236346
-1.125 0.0235777
-1.12402 0.0235017
-1.12305 0.0233987
-1.12207 0.0232553
-1.12109 0.023034
-1.12012 0.0226836
-1.11914 0.0223474
-1.11816 0.0220855
-1.11719 0.0219231
-1.11621 0.0218504
-1.11523 0.0218254
-1.11426 0.0217923
-1.11328 0.0217036
-1.1123 0.0215408
-1.11133 0.0213217
-1.11035 0.021092
-1.10938 0.020905
-1.1084 0.0207978
-1.10742 0.0207755
-1.10645 0.0208104
-1.10547 0.0208565
-1.10449 0.0208728
-1.10352 0.0208436
-1.10254 0.0207876
-1.10156 0.0207506
-1.10059 0.0207862
-1.09961 0.0209338
-1.09863 0.0212035
-1.09766 0.0215757
-1.09668 0.0220122
-1.0957 0.0224758
-1.09473 0.0229345
-1.09375 0.0232742
-1.09277 0.0235274
-1.0918 0.0237343
-1.09082 0.0239088
-1.08984 0.0240598
-1.08887 0.0241921
-1.08789 0.0243094
-1.08691 0.0244142
-1.08594 0.0245086
-1.08496 0.024594
-1.08398 0.0246717
-1.08301 0.0247426
-1.08203 0.0248076
-1.08105 0.0248672
-1.08008 0.0249221
-1.0791 0.0249726
-1.07812 0.0250192
-1.07715 0.0250622
-1.07617 0.0251019
-1.0752 0.0251386
-1.07422 0.0251723
-1.07324 0.0252034
-1.07227 0.025232
-1.07129 0.0252581
-1.07031 0.025282
-1.06934 0.0253037
-1.06836 0.0253233
-1.06738 0.0253409
-1.06641 0.0253565
-1.06543 0.0253701
-1.06445 0.0253818
-1.06348 0.0253916
-1.0625 0.0253995
-1.06152 0.0254054
-1.06055 0.0254093
-1.05957 0.0254113
-1.05859 0.0254111
-1.05762 0.0254087
-1.05664 0.025404
-1.05566 0.0253968
-1.05469 0.0253869
-1.05371 0.025374
-1.05273 0.0253576
-1.05176 0.0253373
-1.05078 0.0253123
-1.0498 0.0252815
-1.04883 0.0252434
-1.04785 0.0251956
-1.04688 0.0251351
-1.0459 0.0250567
-1.04492 0.0249499
-1.04395 0.0248751
-1.04297 0.024876
-1.04199 0.0249255
-1.04102 0.0249507
-1.04004 0.0249776
-1.03906 0.0250092
-1.03809 0.0250454
-1.03711 0.0250852
-1.03613 0.0251265
-1.03516 0.0251686
-1.03418 0.0252116
-1.0332 0.025256
-1.03223 0.0253022
-1.03125 0.0253498
-1.03027 0.0253977
-1.0293 0.025445
-1.02832 0.025491
-1.02734 0.0255354
-1.02637 0.0255779
-1.02539 0.0256184
-1.02441 0.0256571
-1.02344 0.0256939
-1.02246 0.025729
-1.02148 0.0257624
-1.02051 0.0257944
-1.01953 0.025825
-1.01855 0.0258542
-1.01758 0.0258822
-1.0166 0.025909
-1.01562 0.0259346
-1.01465 0.025959
-1.01367 0.0259824
-1.0127 0.0260045
-1.01172 0.0260256
-1.01074 0.0260454
-1.00977 0.026064
-1.00879 0.0260814
-1.00781 0.0260975
-1.00684 0.0261121
-1.00586 0.0261254
-1.00488 0.0261371
-1.00391 0.0261472
-1.00293 0.0261556
-1.00195 0.0261621
-1.00098 0.0261667
-1 0.0261691
