# ---X---	---$\sigma/E^\mathrm{*}$---
-1.27718 0.000292263
-1.2672 0.000296216
-1.25723 0.000300462
-1.24725 0.00030461
-1.23727 0.000308917
-1.22729 0.00031325
-1.21731 0.000317734
-1.20734 0.000322495
-1.19736 0.000327272
-1.18738 0.000332188
-1.1774 0.000337242
-1.16742 0.000342298
-1.15745 0.000347483
-1.14747 0.000352921
-1.13749 0.000358606
-1.12751 0.000364278
-1.11753 0.000370058
-1.10756 0.000376072
-1.09758 0.000382185
-1.0876 0.000388522
-1.07762 0.000395076
-1.06764 0.000401845
-1.05767 0.000408563
-1.04769 0.000415747
-1.03771 0.000422873
-1.02773 0.000430847
-1.01775 0.000427766
-1.00778 0.000366166
-0.997799 -0.0119397
-0.987821 -0.0201788
-0.977843 -0.0262962
-0.967865 -0.0312257
-0.957887 -0.0355227
-0.947909 -0.0393119
-0.937931 -0.0427676
-0.927953 -0.045926
-0.917975 -0.0488696
-0.907997 -0.0516121
-0.898019 -0.0542
-0.888041 -0.0566401
-0.878063 -0.0589614
-0.868085 -0.0611674
-0.858107 -0.0632785
-0.848129 -0.0652958
-0.838151 -0.0672346
-0.828173 -0.0690952
-0.818195 -0.0708889
-0.808217 -0.0726159
-0.798239 -0.0742852
-0.788261 -0.0758964
-0.778283 -0.0774565
-0.768305 -0.0789654
-0.758327 -0.0804292
-0.748349 -0.0818472
-0.738371 -0.0832241
-0.728393 -0.0845598
-0.718415 -0.0858583
-0.708437 -0.0871191
-0.698459 -0.0883461
-0.688481 -0.0895384
-0.678503 -0.0906993
-0.668525 -0.0918283
-0.658547 -0.0929277
-0.648569 -0.0939977
-0.638591 -0.0950406
-0.628613 -0.0960556
-0.618635 -0.0970449
-0.608657 -0.0980083
-0.598679 -0.0989473
-0.588701 -0.0998623
-0.578723 -0.100754
-0.568745 -0.101622
-0.558767 -0.102469
-0.548789 -0.103294
-0.538811 -0.104098
-0.528833 -0.10488
-0.518855 -0.105643
-0.508877 -0.106386
-0.498899 -0.107109
-0.488921 -0.107814
-0.478943 -0.1085
-0.468965 -0.109168
-0.458987 -0.109817
-0.449009 -0.110449
-0.439031 -0.111064
-0.429053 -0.111661
-0.419075 -0.112242
-0.409097 -0.112807
-0.399119 -0.113355
-0.389142 -0.113887
-0.379164 -0.114403
-0.369186 -0.114904
-0.359208 -0.115389
-0.34923 -0.115859
-0.339252 -0.116314
-0.329274 -0.116754
-0.319296 -0.117179
-0.309318 -0.117589
-0.29934 -0.117986
-0.289362 -0.118368
-0.279384 -0.118736
-0.269406 -0.11909
-0.259428 -0.119431
-0.24945 -0.119757
-0.239472 -0.12007
-0.229494 -0.120369
-0.219516 -0.120655
-0.209538 -0.120928
-0.19956 -0.121187
-0.189582 -0.121433
-0.179604 -0.121666
-0.169626 -0.121886
-0.159648 -0.122093
-0.14967 -0.122287
-0.139692 -0.122468
-0.129714 -0.122637
-0.119736 -0.122794
-0.109758 -0.122937
-0.0997799 -0.123068
-0.0898019 -0.123185
-0.0798239 -0.123291
-0.0698459 -0.123384
-0.0598679 -0.123465
-0.0498899 -0.123534
-0.0399119 -0.123589
-0.029934 -0.123632
-0.019956 -0.123663
-0.00997799 -0.123682
0 -0.123688
0.00997799 -0.123682
0.019956 -0.123663
0.029934 -0.123632
0.0399119 -0.123589
0.0498899 -0.123534
0.0598679 -0.123465
0.0698459 -0.123384
0.0798239 -0.123291
0.0898019 -0.123185
0.0997799 -0.123068
0.109758 -0.122937
0.119736 -0.122794
0.129714 -0.122637
0.139692 -0.122468
0.14967 -0.122287
0.159648 -0.122093
0.169626 -0.121886
0.179604 -0.121666
0.189582 -0.121433
0.19956 -0.121187
0.209538 -0.120928
0.219516 -0.120655
0.229494 -0.120369
0.239472 -0.12007
0.24945 -0.119757
0.259428 -0.119431
0.269406 -0.11909
0.279384 -0.118736
0.289362 -0.118368
0.29934 -0.117986
0.309318 -0.117589
0.319296 -0.117179
0.329274 -0.116754
0.339252 -0.116314
0.34923 -0.115859
0.359208 -0.115389
0.369186 -0.114904
0.379164 -0.114403
0.389142 -0.113887
0.399119 -0.113355
0.409097 -0.112807
0.419075 -0.112242
0.429053 -0.111661
0.439031 -0.111064
0.449009 -0.110449
0.458987 -0.109817
0.468965 -0.109168
0.478943 -0.1085
0.488921 -0.107814
0.498899 -0.107109
0.508877 -0.106386
0.518855 -0.105643
