# ---$r/a_\mathrm{H}$---	---$\mathbf{v}(\sigma_\mathrm{I}^\mathrm{max})$---
0.179604 0.0551208
0.189582 0.0522603
0.19956 0.0496803
0.209538 0.0472909
0.219516 0.0460283
0.229494 0.0430567
0.239472 0.0420967
0.24945 0.0395861
0.259428 0.0374015
0.269406 0.0366847
0.279384 0.0360104
0.289362 0.0340928
0.29934 0.0335294
0.309318 0.0318819
0.319296 0.0303572
0.329274 0.0299722
0.339252 0.0294514
0.34923 0.028159
0.359208 0.0277633
0.369186 0.0265907
0.379164 0.0262167
0.389142 0.0258391
0.399119 0.0248359
0.409097 0.0244785
0.419075 0.0241228
0.429053 0.0232658
0.439031 0.0229372
0.449009 0.0221324
0.458987 0.021397
0.468965 0.0211199
0.478943 0.0208297
0.488921 0.0205584
0.498899 0.0199137
0.508877 0.0196547
0.518855 0.019402
0.528833 0.0188069
0.538811 0.0185691
0.548789 0.0180179
0.558767 0.0177925
0.568745 0.017577
0.578723 0.0170782
0.588701 0.0168689
0.598679 0.0164055
0.608657 0.0164479
0.618635 0.0162401
0.628613 0.0158101
0.638591 0.0153913
0.648569 0.0154029
0.658547 0.0152087
0.668525 0.0148269
0.678503 0.0148235
0.688481 0.014446
0.698459 0.0142587
0.708437 0.0139021
0.718415 0.0138866
0.728393 0.013703
0.738371 0.01352
0.748349 0.0131914
0.758327 0.0131534
0.768305 0.0129692
0.778283 0.0126559
0.788261 0.0126077
0.798239 0.0124265
0.808217 0.0123584
0.818195 0.0121747
0.828173 0.0119917
0.838151 0.0119087
0.848129 0.0117183
0.858107 0.0115302
0.868085 0.0114325
0.878063 0.011324
0.888041 0.0112113
0.898019 0.0110872
0.907997 0.0109552
0.917975 0.0108893
0.927953 0.0107327
0.937931 0.0105659
0.947909 0.0105138
0.957887 0.0103714
0.967865 0.0103146
0.977843 0.0102021
0.987821 0.0102464
0.997799 0.0102589
1.00778 0.0100094
1.01775 0.00969653
1.02773 0.00955662
1.03771 0.00953298
1.04769 0.00946024
1.05767 0.00933884
1.06764 0.00929842
1.07762 0.00920996
1.0876 0.00916294
1.09758 0.00906626
1.10756 0.00896453
1.11753 0.00890805
1.12751 0.00884872
1.13749 0.00873616
1.14747 0.00867244
1.15745 0.00855286
1.16742 0.00853563
1.1774 0.00846296
1.18738 0.00833357
1.19736 0.00831251
1.20734 0.00823219
1.21731 0.00815057
1.22729 0.0081249
1.23727 0.00803718
1.24725 0.00794707
1.25723 0.00791624
1.2672 0.00782245
1.27718 0.00778833
1.28716 0.007689
1.29714 0.00765205
1.30712 0.00761388
1.31709 0.00750791
1.32707 0.00746536
1.33705 0.00742304
1.34703 0.00730783
1.35701 0.00733336
1.36698 0.00721496
1.37696 0.00716518
1.38694 0.00711432
1.39692 0.00713925
1.4069 0.00708673
1.41687 0.00703478
1.42685 0.00689991
1.43683 0.00684044
1.44681 0.00686271
1.45679 0.00680321
1.46676 0.00674133
1.47674 0.00667739
1.48672 0.00661367
1.4967 0.00654674
