# ---X---	---$\sigma/E^\mathrm{*}$---
-2.13529 5.43419e-08
-2.12531 5.52885e-08
-2.11533 5.62474e-08
-2.10536 5.72716e-08
-2.09538 5.83099e-08
-2.0854 5.92574e-08
-2.07542 6.03242e-08
-2.06544 6.14588e-08
-2.05547 6.25557e-08
-2.04549 6.36683e-08
-2.03551 6.4851e-08
-2.02553 6.61051e-08
-2.01555 6.72678e-08
-2.00558 6.85024e-08
-1.9956 6.98675e-08
-1.98562 7.11404e-08
-1.97564 7.24887e-08
-1.96566 7.39133e-08
-1.95569 7.53038e-08
-1.94571 7.67719e-08
-1.93573 7.83219e-08
-1.92575 7.98374e-08
-1.91577 8.13748e-08
-1.9058 8.29975e-08
-1.89582 8.47052e-08
-1.88584 8.64406e-08
-1.87586 8.81429e-08
-1.86588 8.9934e-08
-1.85591 9.1816e-08
-1.84593 9.37289e-08
-1.83595 9.56738e-08
-1.82597 9.76507e-08
-1.81599 9.97252e-08
-1.80602 1.01834e-07
-1.79604 1.04044e-07
-1.78606 1.06293e-07
-1.77608 1.08579e-07
-1.7661 1.10973e-07
-1.75613 1.13341e-07
-1.74615 1.15886e-07
-1.73617 1.18478e-07
-1.72619 1.21114e-07
-1.71621 1.2387e-07
-1.70624 1.26676e-07
-1.69626 1.29602e-07
-1.68628 1.32584e-07
-1.6763 1.35621e-07
-1.66632 1.38788e-07
-1.65635 1.42088e-07
-1.64637 1.45451e-07
-1.63639 1.48954e-07
-1.62641 1.52526e-07
-1.61643 1.56166e-07
-1.60646 1.59955e-07
-1.59648 1.63897e-07
-1.5865 1.67919e-07
-1.57652 1.721e-07
-1.56654 1.76447e-07
-1.55657 1.80882e-07
-1.54659 1.85492e-07
-1.53661 1.90195e-07
-1.52663 1.95083e-07
-1.51665 2.00159e-07
-1.50668 2.05427e-07
-1.4967 2.10808e-07
-1.48672 2.16394e-07
-1.47674 2.22279e-07
-1.46676 2.28202e-07
-1.45679 2.34349e-07
-1.44681 2.40815e-07
-1.43683 2.47427e-07
-1.42685 2.54188e-07
-1.41687 2.61295e-07
-1.4069 2.68759e-07
-1.39692 2.76395e-07
-1.38694 2.84308e-07
-1.37696 2.9251e-07
-1.36698 3.00906e-07
-1.35701 3.09811e-07
-1.34703 3.18931e-07
-1.33705 3.28381e-07
-1.32707 3.38278e-07
-1.31709 3.48418e-07
-1.30712 3.59144e-07
-1.29714 3.70139e-07
-1.28716 3.81638e-07
-1.27718 3.9355e-07
-1.2672 4.05886e-07
-1.25723 4.18897e-07
-1.24725 4.3225e-07
-1.23727 4.46202e-07
-1.22729 4.60653e-07
-1.21731 4.75743e-07
-1.20734 4.91624e-07
-1.19736 5.08073e-07
-1.18738 5.2524e-07
-1.1774 5.43157e-07
-1.16742 5.61715e-07
-1.15745 5.81078e-07
-1.14747 6.01417e-07
-1.13749 6.22769e-07
-1.12751 6.449e-07
-1.11753 6.67972e-07
-1.10756 6.92181e-07
-1.09758 7.17425e-07
-1.0876 7.43895e-07
-1.07762 7.7164e-07
-1.06764 8.0072e-07
-1.05767 8.30862e-07
-1.04769 8.62766e-07
-1.03771 8.9583e-07
-1.02773 9.31272e-07
-1.01775 9.53608e-07
-1.00778 9.07179e-07
-0.997799 8.0106e-07
-0.987821 6.83668e-07
-0.977843 6.01531e-07
-0.967865 5.5012e-07
-0.957887 5.15915e-07
-0.947909 4.90948e-07
-0.937931 4.73074e-07
-0.927953 4.60168e-07
-0.917975 4.51072e-07
-0.907997 4.44714e-07
-0.898019 4.41049e-07
-0.888041 4.38776e-07
-0.878063 4.38789e-07
-0.868085 4.39746e-07
-0.858107 4.42028e-07
-0.848129 4.45508e-07
-0.838151 4.49468e-07
-0.828173 4.5418e-07
-0.818195 4.59843e-07
-0.808217 4.65875e-07
-0.798239 4.72028e-07
-0.788261 4.78898e-07
-0.778283 4.86439e-07
-0.768305 4.93906e-07
-0.758327 5.01621e-07
-0.748349 5.09498e-07
-0.738371 5.17891e-07
-0.728393 5.2623e-07
-0.718415 5.34791e-07
-0.708437 5.43615e-07
-0.698459 5.52122e-07
-0.688481 5.6095e-07
-0.678503 5.69652e-07
-0.668525 5.78469e-07
-0.658547 5.87736e-07
-0.648569 5.96668e-07
-0.638591 6.05434e-07
-0.628613 6.14132e-07
-0.618635 6.23115e-07
-0.608657 6.32004e-07
-0.598679 6.40862e-07
-0.588701 6.49667e-07
-0.578723 6.58562e-07
-0.568745 6.67016e-07
-0.558767 6.74808e-07
-0.548789 6.8355e-07
-0.538811 6.91586e-07
-0.528833 6.99734e-07
-0.518855 7.07994e-07
-0.508877 7.16366e-07
-0.498899 7.2485e-07
-0.488921 7.32488e-07
-0.478943 7.41176e-07
-0.468965 7.47542e-07
-0.458987 7.55426e-07
-0.449009 7.63386e-07
-0.439031 7.69992e-07
-0.429053 7.77048e-07
-0.419075 7.85222e-07
-0.409097 7.90962e-07
-0.399119 7.97856e-07
-0.389142 8.05128e-07
-0.379164 8.11034e-07
-0.369186 8.16992e-07
-0.359208 8.23254e-07
-0.34923 8.29298e-07
-0.339252 8.35394e-07
-0.329274 8.4035e-07
-0.319296 8.46734e-07
-0.309318 8.52954e-07
-0.29934 8.58002e-07
-0.289362 8.63078e-07
-0.279384 8.68182e-07
-0.269406 8.72064e-07
-0.259428 8.75826e-07
-0.24945 8.79738e-07
-0.239472 8.84936e-07
-0.229494 8.88878e-07
-0.219516 8.92832e-07
-0.209538 8.96714e-07
-0.19956 9.00698e-07
-0.189582 9.03384e-07
-0.179604 9.06008e-07
-0.169626 9.10022e-07
-0.159648 9.14048e-07
-0.14967 9.15378e-07
-0.139692 9.18086e-07
-0.129714 9.20762e-07
-0.119736 9.22106e-07
-0.109758 9.24824e-07
-0.0997799 9.26174e-07
-0.0898019 9.28898e-07
-0.0798239 9.30254e-07
-0.0698459 9.30254e-07
-0.0598679 9.31614e-07
-0.0498899 9.32978e-07
-0.0399119 9.34346e-07
-0.029934 9.34346e-07
-0.019956 9.35712e-07
-0.00997799 9.35712e-07
0 9.35712e-07
0.00997799 9.35712e-07
0.019956 9.35712e-07
0.029934 9.34346e-07
0.0399119 9.34346e-07
0.0498899 9.32978e-07
0.0598679 9.31614e-07
0.0698459 9.30254e-07
0.0798239 9.30254e-07
0.0898019 9.28898e-07
0.0997799 9.26174e-07
0.109758 9.24824e-07
0.119736 9.22106e-07
0.129714 9.20762e-07
0.139692 9.18086e-07
0.14967 9.15378e-07
0.159648 9.14048e-07
0.169626 9.10022e-07
0.179604 9.06008e-07
0.189582 9.03384e-07
0.19956 9.00698e-07
0.209538 8.96714e-07
0.219516 8.92832e-07
0.229494 8.88878e-07
0.239472 8.84936e-07
0.24945 8.79738e-07
0.259428 8.75826e-07
0.269406 8.72064e-07
0.279384 8.68182e-07
0.289362 8.63078e-07
0.29934 8.58002e-07
0.309318 8.52954e-07
0.319296 8.46734e-07
0.329274 8.4035e-07
0.339252 8.35394e-07
0.34923 8.29298e-07
0.359208 8.23254e-07
0.369186 8.16992e-07
0.379164 8.11034e-07
0.389142 8.05128e-07
0.399119 7.97856e-07
0.409097 7.90962e-07
0.419075 7.85222e-07
0.429053 7.77048e-07
0.439031 7.69992e-07
0.449009 7.63386e-07
0.458987 7.55426e-07
0.468965 7.47542e-07
0.478943 7.41176e-07
0.488921 7.32488e-07
0.498899 7.2485e-07
0.508877 7.16366e-07
0.518855 7.07994e-07
0.528833 6.99734e-07
0.538811 6.91586e-07
0.548789 6.8355e-07
0.558767 6.74808e-07
0.568745 6.67016e-07
0.578723 6.58562e-07
0.588701 6.49667e-07
0.598679 6.40862e-07
0.608657 6.32004e-07
0.618635 6.23115e-07
0.628613 6.14132e-07
0.638591 6.05434e-07
0.648569 5.96668e-07
0.658547 5.87736e-07
0.668525 5.78469e-07
0.678503 5.69652e-07
0.688481 5.6095e-07
0.698459 5.52122e-07
0.708437 5.43615e-07
0.718415 5.34791e-07
0.728393 5.2623e-07
0.738371 5.17891e-07
0.748349 5.09498e-07
0.758327 5.01621e-07
0.768305 4.93906e-07
0.778283 4.86439e-07
0.788261 4.78898e-07
0.798239 4.72028e-07
0.808217 4.65875e-07
0.818195 4.59843e-07
0.828173 4.5418e-07
0.838151 4.49468e-07
0.848129 4.45508e-07
0.858107 4.42028e-07
0.868085 4.39746e-07
0.878063 4.38789e-07
0.888041 4.38776e-07
0.898019 4.41049e-07
0.907997 4.44714e-07
0.917975 4.51072e-07
0.927953 4.60168e-07
0.937931 4.73074e-07
0.947909 4.90948e-07
0.957887 5.15915e-07
0.967865 5.5012e-07
0.977843 6.01531e-07
0.987821 6.83668e-07
0.997799 8.0106e-07
1.00778 9.07179e-07
1.01775 9.53608e-07
1.02773 9.31272e-07
1.03771 8.9583e-07
1.04769 8.62766e-07
1.05767 8.30862e-07
1.06764 8.0072e-07
1.07762 7.7164e-07
1.0876 7.43895e-07
1.09758 7.17425e-07
1.10756 6.92181e-07
1.11753 6.67972e-07
1.12751 6.449e-07
1.13749 6.22769e-07
1.14747 6.01417e-07
1.15745 5.81078e-07
1.16742 5.61715e-07
1.1774 5.43157e-07
1.18738 5.2524e-07
1.19736 5.08073e-07
1.20734 4.91624e-07
1.21731 4.75743e-07
1.22729 4.60653e-07
1.23727 4.46202e-07
1.24725 4.3225e-07
1.25723 4.18897e-07
1.2672 4.05886e-07
1.27718 3.9355e-07
1.28716 3.81638e-07
1.29714 3.70139e-07
1.30712 3.59144e-07
1.31709 3.48418e-07
