# ---X---	---$p_\mathrm{z}/p_\mathrm{H}$---
-2.01555 3.72944e-07
-2.00558 3.72856e-07
-1.9956 3.72768e-07
-1.98562 3.72678e-07
-1.97564 3.72588e-07
-1.96566 3.72497e-07
-1.95569 3.72406e-07
-1.94571 3.72314e-07
-1.93573 3.72221e-07
-1.92575 3.72128e-07
-1.91577 3.72034e-07
-1.9058 3.71939e-07
-1.89582 3.71844e-07
-1.88584 3.71748e-07
-1.87586 3.71651e-07
-1.86588 3.71553e-07
-1.85591 3.71455e-07
-1.84593 3.71356e-07
-1.83595 3.71256e-07
-1.82597 3.71155e-07
-1.81599 3.71054e-07
-1.80602 3.70952e-07
-1.79604 3.70849e-07
-1.78606 3.70745e-07
-1.77608 3.70641e-07
-1.7661 3.70536e-07
-1.75613 3.70429e-07
-1.74615 3.70322e-07
-1.73617 3.70215e-07
-1.72619 3.70107e-07
-1.71621 3.69997e-07
-1.70624 3.69887e-07
-1.69626 3.69775e-07
-1.68628 3.69663e-07
-1.6763 3.6955e-07
-1.66632 3.69437e-07
-1.65635 3.69322e-07
-1.64637 3.69206e-07
-1.63639 3.69089e-07
-1.62641 3.68972e-07
-1.61643 3.68853e-07
-1.60646 3.68734e-07
-1.59648 3.68613e-07
-1.5865 3.68492e-07
-1.57652 3.68369e-07
-1.56654 3.68246e-07
-1.55657 3.68121e-07
-1.54659 3.67996e-07
-1.53661 3.67869e-07
-1.52663 3.67742e-07
-1.51665 3.67613e-07
-1.50668 3.67483e-07
-1.4967 3.67352e-07
-1.48672 3.6722e-07
-1.47674 3.67087e-07
-1.46676 3.66953e-07
-1.45679 3.66817e-07
-1.44681 3.66681e-07
-1.43683 3.66543e-07
-1.42685 3.66404e-07
-1.41687 3.66264e-07
-1.4069 3.66122e-07
-1.39692 3.65979e-07
-1.38694 3.65835e-07
-1.37696 3.6569e-07
-1.36698 3.65543e-07
-1.35701 3.65395e-07
-1.34703 3.65246e-07
-1.33705 3.65095e-07
-1.32707 3.64943e-07
-1.31709 3.64789e-07
-1.30712 3.64634e-07
-1.29714 3.64478e-07
-1.28716 3.6432e-07
-1.27718 3.6416e-07
-1.2672 3.64e-07
-1.25723 3.63837e-07
-1.24725 3.63673e-07
-1.23727 3.63508e-07
-1.22729 3.6334e-07
-1.21731 3.63172e-07
-1.20734 3.63001e-07
-1.19736 3.62829e-07
-1.18738 3.62655e-07
-1.1774 3.62479e-07
-1.16742 3.62302e-07
-1.15745 3.62122e-07
-1.14747 3.61941e-07
-1.13749 3.61758e-07
-1.12751 3.61574e-07
-1.11753 3.61387e-07
-1.10756 3.61198e-07
-1.09758 3.61008e-07
-1.0876 3.60815e-07
-1.07762 3.60621e-07
-1.06764 3.60425e-07
-1.05767 3.60226e-07
-1.04769 3.60026e-07
-1.03771 3.59824e-07
-1.02773 3.59586e-07
-1.01775 3.59263e-07
-1.00778 0.100164
-0.997799 0.166101
-0.987821 0.215119
-0.977843 0.254658
-0.967865 0.289163
-0.957887 0.319588
-0.947909 0.347352
-0.937931 0.37273
-0.927953 0.396384
-0.917975 0.418423
-0.907997 0.439226
-0.898019 0.458836
-0.888041 0.477499
-0.878063 0.495233
-0.868085 0.512204
-0.858107 0.528423
-0.848129 0.544011
-0.838151 0.558972
-0.828173 0.573396
-0.818195 0.587282
-0.808217 0.600705
-0.798239 0.613661
-0.788261 0.626208
-0.778283 0.638344
-0.768305 0.650115
-0.758327 0.661518
-0.748349 0.672593
-0.738371 0.683336
-0.728393 0.693779
-0.718415 0.703921
-0.708437 0.713789
-0.698459 0.723379
-0.688481 0.732716
-0.678503 0.741796
-0.668525 0.750642
-0.658547 0.759249
-0.648569 0.767636
-0.638591 0.775801
-0.628613 0.783759
-0.618635 0.791507
-0.608657 0.799063
-0.598679 0.806418
-0.588701 0.813592
-0.578723 0.820581
-0.568745 0.827386
-0.558767 0.834023
-0.548789 0.840491
-0.538811 0.84679
-0.528833 0.852921
-0.518855 0.8589
-0.508877 0.864726
-0.498899 0.870391
-0.488921 0.875912
-0.478943 0.881281
-0.468965 0.886505
-0.458987 0.891592
-0.449009 0.896536
-0.439031 0.901343
-0.429053 0.906021
-0.419075 0.910555
-0.409097 0.914969
-0.399119 0.919246
-0.389142 0.923403
-0.379164 0.927431
-0.369186 0.931331
-0.359208 0.935111
-0.34923 0.93877
-0.339252 0.942317
-0.329274 0.945736
-0.319296 0.949042
-0.309318 0.952228
-0.29934 0.955301
-0.289362 0.958262
-0.279384 0.961111
-0.269406 0.963848
-0.259428 0.96648
-0.24945 0.968991
-0.239472 0.971399
-0.229494 0.973702
-0.219516 0.975893
-0.209538 0.977979
-0.19956 0.979961
-0.189582 0.981839
-0.179604 0.983605
-0.169626 0.985274
-0.159648 0.986839
-0.14967 0.988299
-0.139692 0.989655
-0.129714 0.990907
-0.119736 0.992063
-0.109758 0.993114
-0.0997799 0.994061
-0.0898019 0.994911
-0.0798239 0.995666
-0.0698459 0.996316
-0.0598679 0.996861
-0.0498899 0.997311
-0.0399119 0.997656
-0.029934 0.997905
-0.019956 0.998057
-0.00997799 0.998105
0 0.998057
0.00997799 0.997905
0.019956 0.997656
0.029934 0.997311
0.0399119 0.996861
0.0498899 0.996316
0.0598679 0.995666
0.0698459 0.994911
0.0798239 0.994061
0.0898019 0.993114
0.0997799 0.992063
0.109758 0.990907
0.119736 0.989655
0.129714 0.988299
0.139692 0.986839
0.14967 0.985274
0.159648 0.983605
0.169626 0.981839
0.179604 0.979961
0.189582 0.977979
0.19956 0.975893
0.209538 0.973702
0.219516 0.971399
0.229494 0.968991
0.239472 0.96648
0.24945 0.963848
0.259428 0.961111
0.269406 0.958262
0.279384 0.955301
0.289362 0.952228
0.29934 0.949042
0.309318 0.945736
0.319296 0.942317
0.329274 0.93877
0.339252 0.935111
0.34923 0.931331
0.359208 0.927431
0.369186 0.923403
0.379164 0.919246
0.389142 0.914969
0.399119 0.910555
0.409097 0.906021
0.419075 0.901343
0.429053 0.896536
0.439031 0.891592
0.449009 0.886505
0.458987 0.881281
0.468965 0.875912
0.478943 0.870391
0.488921 0.864726
0.498899 0.8589
0.508877 0.852921
0.518855 0.84679
0.528833 0.840491
0.538811 0.834023
0.548789 0.827386
0.558767 0.820581
0.568745 0.813592
0.578723 0.806418
0.588701 0.799063
0.598679 0.791507
0.608657 0.783759
0.618635 0.775801
0.628613 0.767636
0.638591 0.759249
0.648569 0.750642
0.658547 0.741796
0.668525 0.732716
0.678503 0.723379
0.688481 0.713789
0.698459 0.703921
0.708437 0.693779
0.718415 0.683336
0.728393 0.672593
0.738371 0.661518
0.748349 0.650115
0.758327 0.638344
0.768305 0.626208
0.778283 0.613661
0.788261 0.600705
0.798239 0.587282
0.808217 0.573396
0.818195 0.558972
0.828173 0.544011
0.838151 0.528423
0.848129 0.512204
0.858107 0.495233
0.868085 0.477499
0.878063 0.458836
0.888041 0.439226
0.898019 0.418423
0.907997 0.396384
0.917975 0.37273
0.927953 0.347352
0.937931 0.319588
0.947909 0.289163
0.957887 0.254658
0.967865 0.215119
0.977843 0.166101
0.987821 0.100164
0.997799 3.59263e-07
1.00778 3.59586e-07
1.01775 3.59824e-07
1.02773 3.60026e-07
1.03771 3.60226e-07
1.04769 3.60425e-07
1.05767 3.60621e-07
1.06764 3.60815e-07
1.07762 3.61008e-07
1.0876 3.61198e-07
1.09758 3.61387e-07
1.10756 3.61574e-07
1.11753 3.61758e-07
1.12751 3.61941e-07
1.13749 3.62122e-07
1.14747 3.62302e-07
1.15745 3.62479e-07
1.16742 3.62655e-07
1.1774 3.62829e-07
1.18738 3.63001e-07
1.19736 3.63172e-07
1.20734 3.6334e-07
1.21731 3.63508e-07
1.22729 3.63673e-07
1.23727 3.63837e-07
1.24725 3.64e-07
1.25723 3.6416e-07
1.2672 3.6432e-07
1.27718 3.64478e-07
1.28716 3.64634e-07
1.29714 3.64789e-07
1.30712 3.64943e-07
1.31709 3.65095e-07
1.32707 3.65246e-07
1.33705 3.65395e-07
1.34703 3.65543e-07
1.35701 3.6569e-07
1.36698 3.65835e-07
1.37696 3.65979e-07
1.38694 3.66122e-07
1.39692 3.66264e-07
1.4069 3.66404e-07
1.41687 3.66543e-07
1.42685 3.66681e-07
1.43683 3.66817e-07
1.44681 3.66953e-07
1.45679 3.67087e-07
1.46676 3.6722e-07
1.47674 3.67352e-07
1.48672 3.67483e-07
1.4967 3.67613e-07
1.50668 3.67742e-07
1.51665 3.67869e-07
1.52663 3.67996e-07
1.53661 3.68121e-07
1.54659 3.68246e-07
1.55657 3.68369e-07
1.56654 3.68492e-07
1.57652 3.68613e-07
1.5865 3.68734e-07
1.59648 3.68853e-07
1.60646 3.68972e-07
1.61643 3.69089e-07
1.62641 3.69206e-07
1.63639 3.69322e-07
1.64637 3.69437e-07
1.65635 3.6955e-07
1.66632 3.69663e-07
1.6763 3.69775e-07
1.68628 3.69887e-07
1.69626 3.69997e-07
1.70624 3.70107e-07
1.71621 3.70215e-07
1.72619 3.70322e-07
1.73617 3.70429e-07
1.74615 3.70536e-07
1.75613 3.70641e-07
1.7661 3.70745e-07
1.77608 3.70849e-07
1.78606 3.70952e-07
1.79604 3.71054e-07
1.80602 3.71155e-07
1.81599 3.71256e-07
1.82597 3.71356e-07
1.83595 3.71455e-07
1.84593 3.71553e-07
1.85591 3.71651e-07
1.86588 3.71748e-07
1.87586 3.71844e-07
1.88584 3.71939e-07
1.89582 3.72034e-07
1.9058 3.72128e-07
1.91577 3.72221e-07
1.92575 3.72314e-07
1.93573 3.72406e-07
1.94571 3.72497e-07
1.95569 3.72588e-07
1.96566 3.72678e-07
1.97564 3.72768e-07
1.98562 3.72856e-07
1.9956 3.72944e-07
2.00558 3.73032e-07
2.01555 3.73118e-07
2.02553 3.73205e-07
2.03551 3.7329e-07
2.04549 3.73375e-07
2.05547 3.73459e-07
2.06544 3.73544e-07
2.07542 3.73626e-07
2.0854 3.73709e-07
2.09538 3.73791e-07
2.10536 3.73873e-07
2.11533 3.73954e-07
2.12531 3.74034e-07
2.13529 3.74113e-07
2.14527 3.74193e-07
2.15525 3.74271e-07
2.16522 3.74349e-07
2.1752 3.74426e-07
2.18518 3.74503e-07
2.19516 3.7458e-07
2.20514 3.74656e-07
2.21511 3.74731e-07
2.22509 3.74806e-07
2.23507 3.74881e-07
2.24505 3.74954e-07
2.25503 3.75027e-07
2.265 3.751e-07
2.27498 3.75173e-07
2.28496 3.75245e-07
2.29494 3.75316e-07
2.30492 3.75387e-07
2.31489 3.75457e-07
2.32487 3.75527e-07
2.33485 3.75596e-07
2.34483 3.75665e-07
2.35481 3.75734e-07
2.36478 3.75802e-07
2.37476 3.75869e-07
2.38474 3.75937e-07
2.39472 3.76003e-07
2.40469 3.76069e-07
2.41467 3.76135e-07
2.42465 3.76201e-07
2.43463 3.76265e-07
2.44461 3.7633e-07
2.45458 3.76393e-07
2.46456 3.76457e-07
2.47454 3.7652e-07
2.48452 3.76583e-07
2.4945 3.76645e-07
2.50447 3.76707e-07
2.51445 3.76768e-07
2.52443 3.7683e-07
2.53441 3.7689e-07
2.54439 3.7695e-07
2.55436 3.7701e-07
2.56434 3.7707e-07
2.57432 3.77128e-07
2.5843 3.77187e-07
2.59428 3.77245e-07
2.60425 3.77303e-07
2.61423 3.7736e-07
2.62421 3.77417e-07
2.63419 3.77474e-07
2.64417 3.7753e-07
2.65414 3.77586e-07
2.66412 3.77642e-07
2.6741 3.77697e-07
2.68408 3.77752e-07
2.69406 3.77806e-07
2.70403 3.7786e-07
2.71401 3.77914e-07
2.72399 3.77967e-07
2.73397 3.7802e-07
2.74395 3.78073e-07
2.75392 3.78125e-07
2.7639 3.78177e-07
2.77388 3.78228e-07
2.78386 3.7828e-07
2.79384 3.7833e-07
2.80381 3.78381e-07
2.81379 3.78431e-07
2.82377 3.78481e-07
2.83375 3.7853e-07
2.84373 3.7858e-07
2.8537 3.78629e-07
2.86368 3.78677e-07
2.87366 3.78725e-07
2.88364 3.78773e-07
2.89362 3.78821e-07
2.90359 3.78868e-07
2.91357 3.78915e-07
2.92355 3.78961e-07
2.93353 3.79008e-07
2.94351 3.79053e-07
2.95348 3.79099e-07
2.96346 3.79144e-07
2.97344 3.79189e-07
2.98342 3.79234e-07
2.9934 3.79278e-07
3.00337 3.79322e-07
3.01335 3.79366e-07
3.02333 3.7941e-07
3.03331 3.79453e-07
3.04329 3.79496e-07
3.05326 3.79538e-07
3.06324 3.79581e-07
3.07322 3.79622e-07
3.0832 3.79664e-07
3.09318 3.79706e-07
3.10315 3.79747e-07
3.11313 3.79788e-07
3.12311 3.79829e-07
3.13309 3.79869e-07
3.14307 3.79909e-07
3.15304 3.79948e-07
3.16302 3.79987e-07
3.173 3.80027e-07
3.18298 3.80066e-07
3.19296 3.80105e-07
3.20293 3.80142e-07
3.21291 3.80181e-07
3.22289 3.80219e-07
3.23287 3.80256e-07
3.24285 3.80293e-07
3.25282 3.8033e-07
3.2628 3.80367e-07
3.27278 3.80403e-07
3.28276 3.80439e-07
3.29274 3.80475e-07
3.30271 3.80511e-07
3.31269 3.80547e-07
3.32267 3.80582e-07
3.33265 3.80617e-07
3.34263 3.80651e-07
3.3526 3.80686e-07
3.36258 3.8072e-07
3.37256 3.80754e-07
3.38254 3.80788e-07
3.39252 3.8082e-07
3.40249 3.80854e-07
3.41247 3.80887e-07
3.42245 3.80919e-07
3.43243 3.80952e-07
3.44241 3.80984e-07
3.45238 3.81015e-07
3.46236 3.81048e-07
3.47234 3.81079e-07
