# ---$r/a_\mathrm{H}$---	---$\mathbf{v}(\sigma_\mathrm{I}^\mathrm{max})$---
1.22729 0.999967
1.23727 0.999968
1.24725 0.999968
1.25723 0.999969
1.2672 0.999969
1.27718 0.99997
1.28716 0.99997
1.29714 0.999971
1.30712 0.999971
1.31709 0.999972
1.32707 0.999972
1.33705 0.999972
1.34703 0.999973
1.35701 0.999973
1.36698 0.999974
1.37696 0.999974
1.38694 0.999975
1.39692 0.999975
1.4069 0.999975
1.41687 0.999975
1.42685 0.999976
1.43683 0.999977
1.44681 0.999976
1.45679 0.999977
1.46676 0.999977
1.47674 0.999978
1.48672 0.999978
1.4967 0.999979
1.50668 0.999978
1.51665 0.999979
1.52663 0.999979
1.53661 0.99998
1.54659 0.99998
1.55657 0.99998
1.56654 0.99998
1.57652 0.999981
1.5865 0.99998
1.59648 0.999981
1.60646 0.999981
1.61643 0.999981
1.62641 0.999982
1.63639 0.999982
1.64637 0.999982
1.65635 0.999983
1.66632 0.999983
1.6763 0.999983
1.68628 0.999983
1.69626 0.999983
1.70624 0.999983
1.71621 0.999984
1.72619 0.999984
1.73617 0.999984
1.74615 0.999985
1.75613 0.999985
1.7661 0.999984
1.77608 0.999984
1.78606 0.999985
1.79604 0.999985
1.80602 0.999986
1.81599 0.999985
1.82597 0.999985
1.83595 0.999985
1.84593 0.999986
1.85591 0.999986
1.86588 0.999987
1.87586 0.999986
1.88584 0.999986
1.89582 0.999987
1.9058 0.999987
1.91577 0.999988
1.92575 0.999987
1.93573 0.999987
1.94571 0.999988
1.95569 0.999987
1.96566 0.999988
1.97564 0.999988
1.98562 0.999988
1.9956 0.999988
2.00558 0.999989
2.01555 0.999989
2.02553 0.999989
2.03551 0.999989
2.04549 0.999989
2.05547 0.999988
2.06544 0.999988
2.07542 0.999989
2.0854 0.999989
2.09538 0.999989
2.10536 0.999989
2.11533 0.99999
2.12531 0.99999
2.13529 0.99999
2.14527 0.99999
2.15525 0.99999
2.16522 0.99999
2.1752 0.99999
2.18518 0.99999
2.19516 0.99999
2.20514 0.999991
2.21511 0.99999
2.22509 0.999991
2.23507 0.99999
2.24505 0.999991
2.25503 0.999991
2.265 0.999991
2.27498 0.999992
2.28496 0.999992
2.29494 0.999992
2.30492 0.999992
2.31489 0.999992
2.32487 0.999992
2.33485 0.999992
2.34483 0.999992
2.35481 0.999991
2.36478 0.999992
2.37476 0.999992
2.38474 0.999992
2.39472 0.999992
2.40469 0.999992
2.41467 0.999992
2.42465 0.999992
2.43463 0.999992
2.44461 0.999992
2.45458 0.999993
2.46456 0.999993
2.47454 0.999993
2.48452 0.999993
2.4945 0.999993
2.50447 0.999993
2.51445 0.999994
2.52443 0.999993
2.53441 0.999993
2.54439 0.999993
2.55436 0.999993
2.56434 0.999993
2.57432 0.999994
2.5843 0.999994
2.59428 0.999994
2.60425 0.999994
2.61423 0.999994
2.62421 0.999994
2.63419 0.999994
2.64417 0.999994
2.65414 0.999994
2.66412 0.999994
2.6741 0.999994
2.68408 0.999994
2.69406 0.999994
2.70403 0.999994
2.71401 0.999994
2.72399 0.999994
2.73397 0.999995
2.74395 0.999995
2.75392 0.999995
2.7639 0.999995
2.77388 0.999995
2.78386 0.999995
2.79384 0.999995
2.80381 0.999995
2.81379 0.999995
2.82377 0.999995
2.83375 0.999995
2.84373 0.999995
2.8537 0.999995
2.86368 0.999995
2.87366 0.999995
2.88364 0.999995
2.89362 0.999995
2.90359 0.999995
2.91357 0.999995
2.92355 0.999996
2.93353 0.999996
2.94351 0.999996
2.95348 0.999996
2.96346 0.999996
2.97344 0.999996
2.98342 0.999996
2.9934 0.999996
3.00337 0.999996
3.01335 0.999996
3.02333 0.999996
3.03331 0.999996
3.04329 0.999996
3.05326 0.999996
3.06324 0.999996
3.07322 0.999996
3.0832 0.999996
3.09318 0.999996
3.10315 0.999996
3.11313 0.999996
3.12311 0.999996
3.13309 0.999996
3.14307 0.999996
3.15304 0.999996
3.16302 0.999996
3.173 0.999997
3.18298 0.999997
3.19296 0.999997
3.20293 0.999997
3.21291 0.999997
3.22289 0.999997
3.23287 0.999997
3.24285 0.999997
3.25282 0.999997
3.2628 0.999997
3.27278 0.999997
3.28276 0.999997
3.29274 0.999997
3.30271 0.999997
3.31269 0.999997
3.32267 0.999997
3.33265 0.999997
3.34263 0.999997
3.3526 0.999997
3.36258 0.999997
3.37256 0.999997
3.38254 0.999997
3.39252 0.999997
3.40249 0.999997
3.41247 0.999997
3.42245 0.999998
3.43243 0.999998
3.44241 0.999998
3.45238 0.999998
3.46236 0.999998
3.47234 0.999998
3.48232 0.999998
3.4923 0.999998
3.50227 0.999998
3.51225 0.999998
3.52223 0.999998
3.53221 0.999998
3.54219 0.999998
3.55216 0.999998
3.56214 0.999998
3.57212 0.999998
3.5821 0.999998
3.59208 0.999998
3.60205 0.999998
3.61203 0.999998
3.62201 0.999998
3.63199 0.999998
3.64197 0.999998
3.65194 0.999998
3.66192 0.999998
3.6719 0.999998
3.68188 0.999998
3.69186 0.999998
3.70183 0.999998
3.71181 0.999998
3.72179 0.999998
3.73177 0.999998
3.74175 0.999998
3.75172 0.999998
3.7617 0.999998
3.77168 0.999999
3.78166 0.999998
3.79164 0.999999
3.80161 0.999999
3.81159 0.999999
3.82157 0.999999
3.83155 0.999999
3.84153 0.999999
3.8515 0.999999
3.86148 0.999999
3.87146 0.999999
3.88144 0.999999
3.89142 0.999999
3.90139 0.999999
3.91137 0.999999
3.92135 0.999999
3.93133 0.999999
3.94131 0.999999
3.95128 0.999999
3.96126 0.999999
3.97124 0.999999
3.98122 0.999999
3.99119 0.999999
4.00117 0.999999
4.01115 0.999999
4.02113 0.999999
4.03111 0.999999
4.04108 0.999999
4.05106 0.999999
4.06104 0.999999
4.07102 0.999999
4.081 0.999999
4.09097 0.999999
4.10095 0.999999
4.11093 0.999999
4.12091 0.999999
4.13089 0.999999
4.14086 0.999999
4.15084 0.999999
4.16082 0.999999
4.1708 0.999999
4.18078 0.999999
4.19075 0.999999
4.20073 0.999999
4.21071 0.999999
4.22069 0.999999
4.23067 0.999999
4.24064 0.999999
4.25062 0.999999
4.2606 0.999999
4.27058 0.999999
4.28056 0.999999
4.29053 0.999999
4.30051 0.999999
4.31049 0.999999
4.32047 0.999999
4.33045 0.999999
4.34042 0.999999
4.3504 1
