# ---X---	---$u_\mathrm{z}$---
-1.53661 0.0271332
-1.52663 0.0270521
-1.51665 0.0269697
-1.50668 0.026886
-1.4967 0.0268009
-1.48672 0.0267143
-1.47674 0.0266263
-1.46676 0.0265368
-1.45679 0.0264457
-1.44681 0.026353
-1.43683 0.0262587
-1.42685 0.0261628
-1.41687 0.0260651
-1.4069 0.0259656
-1.39692 0.0258642
-1.38694 0.025761
-1.37696 0.0256558
-1.36698 0.0255486
-1.35701 0.0254393
-1.34703 0.0253278
-1.33705 0.0252141
-1.32707 0.0250981
-1.31709 0.0249798
-1.30712 0.0248589
-1.29714 0.0247355
-1.28716 0.0246094
-1.27718 0.0244806
-1.2672 0.0243488
-1.25723 0.0242141
-1.24725 0.0240763
-1.23727 0.0239352
-1.22729 0.0237908
-1.21731 0.0236428
-1.20734 0.023491
-1.19736 0.0233354
-1.18738 0.0231757
-1.1774 0.0230117
-1.16742 0.0228432
-1.15745 0.0226699
-1.14747 0.0224915
-1.13749 0.0223077
-1.12751 0.0221182
-1.11753 0.0219225
-1.10756 0.0217202
-1.09758 0.0215108
-1.0876 0.0212935
-1.07762 0.0210678
-1.06764 0.0208325
-1.05767 0.0205866
-1.04769 0.0203286
-1.03771 0.020056
-1.02773 0.0197658
-1.01775 0.0194494
-1.00778 0.0190872
-0.997799 0.0187167
-0.987821 0.0183476
-0.977843 0.0179811
-0.967865 0.0176177
-0.957887 0.0172576
-0.947909 0.0169009
-0.937931 0.0165477
-0.927953 0.0161981
-0.917975 0.0158521
-0.907997 0.0155097
-0.898019 0.0151709
-0.888041 0.0148359
-0.878063 0.0145045
-0.868085 0.0141769
-0.858107 0.013853
-0.848129 0.0135328
-0.838151 0.0132163
-0.828173 0.0129035
-0.818195 0.0125945
-0.808217 0.0122893
-0.798239 0.0119878
-0.788261 0.0116901
-0.778283 0.0113961
-0.768305 0.0111059
-0.758327 0.0108194
-0.748349 0.0105368
-0.738371 0.0102578
-0.728393 0.00998271
-0.718415 0.00971135
-0.708437 0.00944376
-0.698459 0.00917996
-0.688481 0.00891993
-0.678503 0.00866368
-0.668525 0.00841121
-0.658547 0.00816253
-0.648569 0.00791763
-0.638591 0.00767652
-0.628613 0.00743919
-0.618635 0.00720564
-0.608657 0.00697589
-0.598679 0.00674992
-0.588701 0.00652774
-0.578723 0.00630936
-0.568745 0.00609476
-0.558767 0.00588395
-0.548789 0.00567694
-0.538811 0.00547371
-0.528833 0.00527428
-0.518855 0.00507864
-0.508877 0.0048868
-0.498899 0.00469875
-0.488921 0.00451449
-0.478943 0.00433403
-0.468965 0.00415736
-0.458987 0.00398449
-0.449009 0.00381541
-0.439031 0.00365013
-0.429053 0.00348865
-0.419075 0.00333096
-0.409097 0.00317707
-0.399119 0.00302697
-0.389142 0.00288067
