# ---X---	---$u_\mathrm{z}$---
-0.548789 0.00576973
-0.538811 0.00556183
-0.528833 0.00535774
-0.518855 0.00515747
-0.508877 0.00496101
-0.498899 0.00476837
-0.488921 0.00457954
-0.478943 0.00439453
-0.468965 0.00421333
-0.458987 0.00403595
-0.449009 0.00386238
-0.439031 0.00369263
-0.429053 0.00352669
-0.419075 0.00336456
-0.409097 0.00320625
-0.399119 0.00305176
-0.389142 0.00290108
-0.379164 0.00275421
-0.369186 0.00261116
-0.359208 0.00247192
-0.34923 0.0023365
-0.339252 0.0022049
-0.329274 0.0020771
-0.319296 0.00195312
-0.309318 0.00183296
-0.29934 0.00171661
-0.289362 0.00160408
-0.279384 0.00149536
-0.269406 0.00139046
-0.259428 0.00128937
-0.24945 0.00119209
-0.239472 0.00109863
-0.229494 0.00100899
-0.219516 0.000923157
-0.209538 0.000841141
-0.19956 0.000762939
-0.189582 0.000688553
-0.179604 0.000617981
-0.169626 0.000551224
-0.159648 0.000488281
-0.14967 0.000429153
-0.139692 0.00037384
-0.129714 0.000322342
-0.119736 0.000274658
-0.109758 0.000230789
-0.0997799 0.000190735
-0.0898019 0.000154495
-0.0798239 0.00012207
-0.0698459 9.34601e-05
-0.0598679 6.86646e-05
-0.0498899 4.76837e-05
-0.0399119 3.05176e-05
-0.029934 1.71661e-05
-0.019956 7.62939e-06
-0.00997799 1.90735e-06
0 0
0.00997799 1.90735e-06
0.019956 7.62939e-06
0.029934 1.71661e-05
0.0399119 3.05176e-05
0.0498899 4.76837e-05
0.0598679 6.86646e-05
0.0698459 9.34601e-05
0.0798239 0.00012207
0.0898019 0.000154495
0.0997799 0.000190735
0.109758 0.000230789
0.119736 0.000274658
0.129714 0.000322342
0.139692 0.00037384
0.14967 0.000429153
0.159648 0.000488281
0.169626 0.000551224
0.179604 0.000617981
0.189582 0.000688553
0.19956 0.000762939
0.209538 0.000841141
0.219516 0.000923157
0.229494 0.00100899
0.239472 0.00109863
0.24945 0.00119209
0.259428 0.00128937
0.269406 0.00139046
0.279384 0.00149536
0.289362 0.00160408
0.29934 0.00171661
0.309318 0.00183296
0.319296 0.00195312
0.329274 0.0020771
0.339252 0.0022049
0.34923 0.0023365
0.359208 0.00247192
0.369186 0.00261116
0.379164 0.00275421
0.389142 0.00290108
0.399119 0.00305176
0.409097 0.00320625
0.419075 0.00336456
0.429053 0.00352669
0.439031 0.00369263
0.449009 0.00386238
0.458987 0.00403595
0.468965 0.00421333
0.478943 0.00439453
0.488921 0.00457954
0.498899 0.00476837
0.508877 0.00496101
0.518855 0.00515747
0.528833 0.00535774
0.538811 0.00556183
0.548789 0.00576973
0.558767 0.00598145
0.568745 0.00619698
0.578723 0.00641632
0.588701 0.00663948
0.598679 0.00686646
0.608657 0.00709724
0.618635 0.00733185
0.628613 0.00757027
0.638591 0.0078125
0.648569 0.00805855
0.658547 0.00830841
0.668525 0.00856209
0.678503 0.00881958
0.688481 0.00908089
0.698459 0.00934601
0.708437 0.00961494
0.718415 0.0098877
0.728393 0.0101643
0.738371 0.0104446
0.748349 0.0107288
0.758327 0.0110168
0.768305 0.0113087
0.778283 0.0116043
0.788261 0.0119038
0.798239 0.012207
0.808217 0.0125141
0.818195 0.012825
0.828173 0.0131397
0.838151 0.0134583
0.848129 0.0137806
0.858107 0.0141068
0.868085 0.0144367
0.878063 0.0147705
0.888041 0.0151081
0.898019 0.0154495
0.907997 0.0157948
0.917975 0.0161438
0.927953 0.0164967
0.937931 0.0168533
0.947909 0.0172138
0.957887 0.0175781
0.967865 0.0179462
0.977843 0.0183182
0.987821 0.0186939
0.997799 0.0190735
1.00778 0.0194569
1.01775 0.0198441
1.02773 0.0202351
1.03771 0.0206299
1.04769 0.0210285
1.05767 0.021431
1.06764 0.0218372
1.07762 0.0222473
1.0876 0.0226612
1.09758 0.0230789
1.10756 0.0235004
1.11753 0.0239258
1.12751 0.0243549
1.13749 0.0247879
1.14747 0.0252247
1.15745 0.0256653
1.16742 0.0261097
1.1774 0.0265579
1.18738 0.02701
1.19736 0.0274658
1.20734 0.0279255
1.21731 0.028389
1.22729 0.0288563
1.23727 0.0293274
1.24725 0.0298023
1.25723 0.0302811
1.2672 0.0307636
1.27718 0.03125
1.28716 0.0317402
1.29714 0.0322342
1.30712 0.032732
1.31709 0.0332336
1.32707 0.0337391
1.33705 0.0342484
1.34703 0.0347614
1.35701 0.0352783
1.36698 0.035799
1.37696 0.0363235
1.38694 0.0368519
1.39692 0.037384
1.4069 0.03792
1.41687 0.0384598
1.42685 0.0390034
1.43683 0.0395508
1.44681 0.040102
1.45679 0.040657
1.46676 0.0412159
1.47674 0.0417786
1.48672 0.042345
1.4967 0.0429153
1.50668 0.0434895
1.51665 0.0440674
1.52663 0.0446491
1.53661 0.0452347
1.54659 0.0458241
1.55657 0.0464172
1.56654 0.0470142
1.57652 0.0476151
1.5865 0.0482197
1.59648 0.0488281
1.60646 0.0494404
1.61643 0.0500565
1.62641 0.0506763
1.63639 0.0513
1.64637 0.0519276
1.65635 0.0525589
1.66632 0.053194
1.6763 0.053833
1.68628 0.0544758
1.69626 0.0551224
1.70624 0.0557728
1.71621 0.056427
1.72619 0.057085
1.73617 0.0577469
1.74615 0.0584126
1.75613 0.059082
1.7661 0.0597553
1.77608 0.0604324
1.78606 0.0611134
1.79604 0.0617981
1.80602 0.0624866
1.81599 0.063179
1.82597 0.0638752
1.83595 0.0645752
1.84593 0.065279
1.85591 0.0659866
1.86588 0.0666981
1.87586 0.0674133
1.88584 0.0681324
1.89582 0.0688553
1.9058 0.069582
1.91577 0.0703125
1.92575 0.0710468
1.93573 0.071785
1.94571 0.0725269
1.95569 0.0732727
1.96566 0.0740223
1.97564 0.0747757
1.98562 0.0755329
1.9956 0.0762939
2.00558 0.0770588
2.01555 0.0778275
2.02553 0.0785999
2.03551 0.0793762
2.04549 0.0801563
2.05547 0.0809402
2.06544 0.081728
2.07542 0.0825195
2.0854 0.0833149
2.09538 0.0841141
2.10536 0.0849171
2.11533 0.0857239
2.12531 0.0865345
2.13529 0.0873489
2.14527 0.0881672
2.15525 0.0889893
2.16522 0.0898151
2.1752 0.0906448
2.18518 0.0914783
2.19516 0.0923157
2.20514 0.0931568
2.21511 0.0940018
2.22509 0.0948505
2.23507 0.0957031
2.24505 0.0965595
2.25503 0.0974197
2.265 0.0982838
2.27498 0.0991516
2.28496 0.100023
2.29494 0.100899
2.30492 0.101778
2.31489 0.102661
2.32487 0.103548
2.33485 0.104439
2.34483 0.105333
2.35481 0.106232
2.36478 0.107134
2.37476 0.10804
2.38474 0.10895
2.39472 0.109863
2.40469 0.110781
2.41467 0.111702
2.42465 0.112627
2.43463 0.113556
2.44461 0.114489
2.45458 0.115425
2.46456 0.116365
2.47454 0.11731
2.48452 0.118258
2.4945 0.119209
2.50447 0.120165
2.51445 0.121124
2.52443 0.122087
2.53441 0.123055
2.54439 0.124025
2.55436 0.125
2.56434 0.125978
2.57432 0.126961
2.5843 0.127947
2.59428 0.128937
2.60425 0.12993
2.61423 0.130928
2.62421 0.131929
2.63419 0.132935
2.64417 0.133944
2.65414 0.134956
2.66412 0.135973
2.6741 0.136993
2.68408 0.138018
2.69406 0.139046
2.70403 0.140078
2.71401 0.141113
2.72399 0.142153
2.73397 0.143196
2.74395 0.144243
2.75392 0.145294
2.7639 0.146349
2.77388 0.147408
2.78386 0.14847
2.79384 0.149536
2.80381 0.150606
2.81379 0.15168
2.82377 0.152758
2.83375 0.153839
2.84373 0.154924
2.8537 0.156013
2.86368 0.157106
2.87366 0.158203
2.88364 0.159304
2.89362 0.160408
2.90359 0.161516
2.91357 0.162628
2.92355 0.163744
2.93353 0.164864
2.94351 0.165987
2.95348 0.167114
2.96346 0.168245
2.97344 0.16938
2.98342 0.170519
2.9934 0.171661
3.00337 0.172808
3.01335 0.173958
3.02333 0.175112
3.03331 0.17627
3.04329 0.177431
3.05326 0.178596
3.06324 0.179766
3.07322 0.180939
3.0832 0.182116
3.09318 0.183296
3.10315 0.184481
3.11313 0.185669
3.12311 0.186861
3.13309 0.188057
3.14307 0.189257
3.15304 0.19046
3.16302 0.191668
3.173 0.192879
3.18298 0.194094
3.19296 0.195312
3.20293 0.196535
3.21291 0.197762
3.22289 0.198992
3.23287 0.200226
3.24285 0.201464
3.25282 0.202705
3.2628 0.203951
3.27278 0.2052
3.28276 0.206453
3.29274 0.20771
3.30271 0.208971
3.31269 0.210236
3.32267 0.211504
3.33265 0.212776
3.34263 0.214052
3.3526 0.215332
3.36258 0.216616
3.37256 0.217903
3.38254 0.219194
3.39252 0.22049
3.40249 0.221788
3.41247 0.223091
3.42245 0.224398
3.43243 0.225708
3.44241 0.227022
3.45238 0.22834
3.46236 0.229662
3.47234 0.230988
3.48232 0.232317
3.4923 0.23365
3.50227 0.234987
3.51225 0.236328
3.52223 0.237673
3.53221 0.239021
3.54219 0.240374
3.55216 0.24173
3.56214 0.24309
3.57212 0.244453
3.5821 0.245821
3.59208 0.247192
3.60205 0.248568
3.61203 0.249947
3.62201 0.251329
3.63199 0.252716
3.64197 0.254107
3.65194 0.255501
3.66192 0.256899
3.6719 0.258301
3.68188 0.259706
3.69186 0.261116
3.70183 0.262529
3.71181 0.263947
3.72179 0.265368
3.73177 0.266792
3.74175 0.268221
3.75172 0.269653
3.7617 0.27109
3.77168 0.27253
3.78166 0.273973
3.79164 0.275421
3.80161 0.276873
3.81159 0.278328
3.82157 0.279787
3.83155 0.28125
3.84153 0.282717
3.8515 0.284187
3.86148 0.285662
3.87146 0.28714
3.88144 0.288622
3.89142 0.290108
3.90139 0.291597
3.91137 0.293091
3.92135 0.294588
3.93133 0.296089
3.94131 0.297594
3.95128 0.299103
3.96126 0.300615
3.97124 0.302132
