# ---$r/a_\mathrm{H}$---	---$\mathbf{v}(\sigma_\mathrm{I}^\mathrm{max})$---
-1.54659 9.12704e-07
-1.53661 9.17235e-07
-1.52663 9.2168e-07
-1.51665 9.26129e-07
-1.50668 9.30534e-07
-1.4967 9.35533e-07
-1.48672 9.40513e-07
-1.47674 9.45055e-07
-1.46676 9.50689e-07
-1.45679 9.5647e-07
-1.44681 9.61785e-07
-1.43683 9.67838e-07
-1.42685 9.74518e-07
-1.41687 9.80939e-07
-1.4069 9.8701e-07
-1.39692 9.93942e-07
-1.38694 1.00108e-06
-1.37696 1.00866e-06
-1.36698 1.017e-06
-1.35701 1.02486e-06
-1.34703 1.03357e-06
-1.33705 1.04292e-06
-1.32707 1.05217e-06
-1.31709 1.06271e-06
-1.30712 1.07274e-06
-1.29714 1.08421e-06
-1.28716 1.0958e-06
-1.27718 1.1085e-06
-1.2672 1.12194e-06
-1.25723 1.13576e-06
-1.24725 1.15097e-06
-1.23727 1.16733e-06
-1.22729 1.18479e-06
-1.21731 1.2038e-06
-1.20734 1.22315e-06
-1.19736 1.24504e-06
-1.18738 1.26815e-06
-1.1774 1.29392e-06
-1.16742 1.32186e-06
-1.15745 1.35353e-06
-1.14747 1.38689e-06
-1.13749 1.425e-06
-1.12751 1.46669e-06
-1.11753 1.51612e-06
-1.10756 1.56946e-06
-1.09758 1.6347e-06
-1.0876 1.70645e-06
-1.07762 1.79811e-06
-1.06764 1.90054e-06
-1.05767 2.04476e-06
-1.04769 2.20979e-06
-1.03771 2.48636e-06
-1.02773 2.81707e-06
-1.01775 3.92273e-06
-1.00778 6.31395e-06
-0.997799 3.57052e-06
-0.987821 9.30681e-07
-0.977843 1.99637e-07
-0.967865 1.90786e-07
-0.957887 1.20561e-07
-0.947909 1.1413e-07
-0.937931 9.2586e-08
-0.927953 8.83582e-08
-0.917975 7.83492e-08
-0.907997 7.54719e-08
-0.898019 6.97257e-08
-0.888041 6.74164e-08
-0.878063 6.36219e-08
-0.868085 6.18253e-08
-0.858107 5.89938e-08
-0.848129 5.74613e-08
-0.838151 5.53116e-08
-0.828173 5.39303e-08
-0.818195 5.21564e-08
-0.808217 5.0938e-08
-0.798239 4.9443e-08
-0.788261 4.83339e-08
-0.778283 4.69942e-08
-0.768305 4.59655e-08
-0.758327 4.48064e-08
-0.748349 4.38555e-08
-0.738371 4.27581e-08
-0.728393 4.1879e-08
-0.718415 4.08843e-08
-0.708437 4.00307e-08
-0.698459 3.91167e-08
-0.688481 3.83142e-08
-0.678503 3.74449e-08
-0.668525 3.66829e-08
-0.658547 3.58544e-08
-0.648569 3.51167e-08
-0.638591 3.43419e-08
-0.628613 3.36361e-08
-0.618635 3.28887e-08
-0.608657 3.22002e-08
-0.598679 3.14895e-08
-0.588701 3.08215e-08
-0.578723 3.01327e-08
-0.568745 2.94906e-08
-0.558767 2.8823e-08
-0.548789 2.81927e-08
-0.538811 2.75558e-08
-0.528833 2.69417e-08
-0.518855 2.63199e-08
-0.508877 2.57211e-08
-0.498899 2.5116e-08
-0.488921 2.45271e-08
-0.478943 2.39332e-08
-0.468965 2.33652e-08
-0.458987 2.2789e-08
-0.449009 2.2222e-08
-0.439031 2.16569e-08
-0.429053 2.11074e-08
-0.419075 2.05489e-08
-0.409097 2.00082e-08
-0.399119 1.94642e-08
-0.389142 1.89304e-08
-0.379164 1.83968e-08
-0.369186 1.787e-08
-0.359208 1.73447e-08
-0.34923 1.68256e-08
-0.339252 1.63072e-08
-0.329274 1.57978e-08
-0.319296 1.52824e-08
-0.309318 1.47795e-08
-0.29934 1.42736e-08
-0.289362 1.3773e-08
-0.279384 1.32753e-08
-0.269406 1.2781e-08
-0.259428 1.22885e-08
-0.24945 1.17977e-08
-0.239472 1.13081e-08
-0.229494 1.08234e-08
-0.219516 1.03389e-08
-0.209538 9.85782e-09
-0.19956 9.37707e-09
-0.189582 8.8993e-09
-0.179604 8.42307e-09
-0.169626 7.94859e-09
-0.159648 7.47467e-09
-0.14967 7.00349e-09
-0.139692 6.53264e-09
-0.129714 6.06419e-09
-0.119736 5.59629e-09
-0.109758 5.12967e-09
-0.0997799 4.66422e-09
-0.0898019 4.20065e-09
-0.0798239 3.73789e-09
-0.0698459 3.27687e-09
-0.0598679 2.81814e-09
-0.0498899 2.36125e-09
-0.0399119 1.90936e-09
-0.029934 1.46363e-09
-0.019956 1.03426e-09
-0.00997799 6.57391e-10
0 4.59818e-10
0.00997799 6.57388e-10
0.019956 1.03427e-09
0.029934 1.46363e-09
0.0399119 1.90936e-09
0.0498899 2.36124e-09
0.0598679 2.81816e-09
0.0698459 3.27687e-09
0.0798239 3.7379e-09
0.0898019 4.20065e-09
0.0997799 4.66422e-09
0.109758 5.12967e-09
0.119736 5.59629e-09
0.129714 6.06419e-09
0.139692 6.53263e-09
0.14967 7.00349e-09
0.159648 7.47468e-09
0.169626 7.94859e-09
0.179604 8.42307e-09
0.189582 8.8993e-09
0.19956 9.37707e-09
0.209538 9.85782e-09
0.219516 1.03389e-08
0.229494 1.08234e-08
0.239472 1.13081e-08
0.24945 1.17977e-08
0.259428 1.22885e-08
0.269406 1.2781e-08
0.279384 1.32753e-08
0.289362 1.3773e-08
0.29934 1.42736e-08
0.309318 1.47795e-08
0.319296 1.52824e-08
0.329274 1.57978e-08
0.339252 1.63072e-08
0.34923 1.68256e-08
0.359208 1.73447e-08
0.369186 1.787e-08
0.379164 1.83968e-08
0.389142 1.89304e-08
0.399119 1.94642e-08
0.409097 2.00082e-08
0.419075 2.05489e-08
0.429053 2.11074e-08
0.439031 2.16569e-08
0.449009 2.2222e-08
0.458987 2.2789e-08
0.468965 2.33652e-08
0.478943 2.39332e-08
0.488921 2.45271e-08
0.498899 2.5116e-08
0.508877 2.57211e-08
0.518855 2.63199e-08
0.528833 2.69417e-08
0.538811 2.75558e-08
0.548789 2.81927e-08
0.558767 2.8823e-08
0.568745 2.94906e-08
0.578723 3.01327e-08
0.588701 3.08215e-08
0.598679 3.14895e-08
0.608657 3.22002e-08
0.618635 3.28887e-08
0.628613 3.36361e-08
0.638591 3.43419e-08
0.648569 3.51167e-08
0.658547 3.58544e-08
0.668525 3.66829e-08
0.678503 3.74449e-08
0.688481 3.83142e-08
0.698459 3.91167e-08
0.708437 4.00307e-08
0.718415 4.08843e-08
0.728393 4.1879e-08
0.738371 4.27581e-08
0.748349 4.38555e-08
0.758327 4.48064e-08
0.768305 4.59655e-08
0.778283 4.69942e-08
0.788261 4.83339e-08
0.798239 4.9443e-08
0.808217 5.0938e-08
0.818195 5.21564e-08
0.828173 5.39303e-08
0.838151 5.53116e-08
0.848129 5.74613e-08
0.858107 5.89938e-08
0.868085 6.18253e-08
0.878063 6.36219e-08
0.888041 6.74164e-08
0.898019 6.97257e-08
0.907997 7.54719e-08
0.917975 7.83492e-08
0.927953 8.83582e-08
0.937931 9.2586e-08
0.947909 1.1413e-07
0.957887 1.20561e-07
0.967865 1.90786e-07
0.977843 1.99637e-07
0.987821 9.30681e-07
0.997799 3.57052e-06
1.00778 6.31395e-06
1.01775 3.92273e-06
1.02773 2.81707e-06
1.03771 2.48636e-06
1.04769 2.20979e-06
1.05767 2.04476e-06
1.06764 1.90054e-06
1.07762 1.79811e-06
1.0876 1.70645e-06
1.09758 1.6347e-06
1.10756 1.56946e-06
1.11753 1.51612e-06
1.12751 1.46669e-06
1.13749 1.425e-06
1.14747 1.38689e-06
1.15745 1.35353e-06
1.16742 1.32186e-06
1.1774 1.29392e-06
1.18738 1.26815e-06
1.19736 1.24504e-06
1.20734 1.22315e-06
1.21731 1.2038e-06
1.22729 1.18479e-06
1.23727 1.16733e-06
1.24725 1.15097e-06
1.25723 1.13576e-06
1.2672 1.12194e-06
1.27718 1.1085e-06
1.28716 1.0958e-06
1.29714 1.08421e-06
1.30712 1.07274e-06
1.31709 1.06271e-06
1.32707 1.05217e-06
1.33705 1.04292e-06
1.34703 1.03357e-06
1.35701 1.02486e-06
1.36698 1.017e-06
1.37696 1.00866e-06
1.38694 1.00108e-06
1.39692 9.93942e-07
1.4069 9.8701e-07
1.41687 9.80939e-07
1.42685 9.74518e-07
1.43683 9.67838e-07
1.44681 9.61785e-07
1.45679 9.5647e-07
1.46676 9.50689e-07
1.47674 9.45055e-07
1.48672 9.40513e-07
1.4967 9.35533e-07
